300041 回天新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	0.65	0.67	0.60	0.65	1782479	19016526.00
2013/09/03	0.67	0.71	0.65	0.68	2054719	22220210.00
2013/09/04	0.67	0.69	0.64	0.67	1821214	19515474.00
2013/09/05	0.67	0.76	0.65	0.72	5065496	56104272.00
2013/09/06	0.72	0.89	0.70	0.86	8563922	99061912.00
2013/09/09	0.85	0.93	0.83	0.89	6849960	80983256.00
2013/09/10	0.89	0.90	0.83	0.89	3441755	40535172.00
2013/09/11	0.90	0.91	0.77	0.83	3865253	44732244.00
2013/09/12	0.84	1.03	0.82	0.96	6536433	79626888.00
2013/09/13	0.94	0.98	0.90	0.96	3496137	42507624.00
2013/09/16	0.98	1.01	0.88	0.89	4044799	49000616.00
2013/09/17	0.89	0.93	0.83	0.85	3146901	37229524.00
2013/09/18	0.82	1.00	0.82	1.00	5251061	64065696.00
2013/09/23	1.03	1.16	1.03	1.12	7037825	91471768.00
2013/09/24	1.12	1.12	1.03	1.10	5056952	64972984.00
2013/09/25	1.09	1.23	1.07	1.20	6371175	85490120.00
2013/09/26	1.14	1.27	1.11	1.14	3874404	52157728.00
2013/09/27	1.09	1.18	1.03	1.06	4892890	63208960.00
2013/09/30	1.06	1.18	1.06	1.14	2135392	27948000.00
2013/10/08	1.16	1.25	1.12	1.19	3434115	46239000.00
2013/10/09	1.13	1.19	1.08	1.14	3319304	43424592.00
2013/10/10	1.14	1.20	1.01	1.05	3397199	43792056.00
2013/10/11	1.07	1.12	1.01	1.05	3501024	44589300.00
2013/10/14	1.03	1.12	1.03	1.10	3434498	44110620.00
2013/10/15	1.11	1.11	0.91	0.98	5942012	73747624.00
2013/10/16	0.98	0.98	0.81	0.85	3986152	47169904.00
2013/10/17	0.85	0.89	0.82	0.85	2486371	29178162.00
2013/10/18	0.84	0.89	0.84	0.88	1286803	15099299.00
2013/10/21	0.88	0.94	0.87	0.94	2363417	28466650.00
2013/10/22	0.95	0.95	0.85	0.87	2941659	34870936.00
2013/10/23	0.86	0.87	0.74	0.80	3454371	39274804.00
2013/10/24	0.78	0.81	0.76	0.80	1253617	14280704.00
2013/10/25	0.82	0.82	0.74	0.77	1590167	18016472.00
2013/10/28	0.77	0.81	0.76	0.81	1378841	15656222.00
2013/10/29	0.79	0.83	0.65	0.78	2803994	31155212.00
2013/10/30	0.77	0.82	0.74	0.82	2371528	27111898.00
2013/10/31	0.80	0.90	0.79	0.86	3342733	39121032.00
2013/11/01	0.88	0.88	0.78	0.84	1679392	19416412.00
2013/11/04	0.84	0.87	0.79	0.83	1299153	15026383.00
2013/11/05	0.81	0.85	0.75	0.84	2033182	23311802.00
2013/11/06	0.83	0.84	0.79	0.81	1326859	15303517.00
2013/11/07	0.79	0.80	0.74	0.76	1208103	13574709.00
2013/11/08	0.75	0.77	0.68	0.72	1348908	14790731.00
2013/11/11	0.72	0.76	0.68	0.75	844565	9350098.00
2013/11/12	0.75	0.76	0.73	0.76	950047	10607488.00
2013/11/13	0.74	0.75	0.70	0.71	939824	10348597.00
2013/11/14	0.69	0.78	0.66	0.76	1082846	12072228.00
2013/11/15	0.75	0.85	0.75	0.80	2219079	25541628.00
2013/11/18	0.82	1.03	0.82	1.03	7305699	90944280.00
2013/11/19	1.10	1.14	1.03	1.10	7235259	93222104.00
2013/11/20	1.10	1.23	1.10	1.12	4741589	62921152.00
2013/11/21	1.16	1.16	1.01	1.05	3486650	44577164.00
2013/11/22	1.01	1.10	1.01	1.09	2430523	31061982.00
2013/11/25	1.10	1.24	1.03	1.22	5909314	77947000.00
2013/11/26	1.20	1.28	1.16	1.25	3652758	49711116.00
2013/11/27	1.22	1.40	1.22	1.32	5184650	73229408.00
2013/11/28	1.33	1.41	1.31	1.31	3791382	54341688.00
