300046 台基股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	0.21	0.29	0.19	0.28	929106	8035947.00
2013/09/03	0.28	0.32	0.26	0.32	916267	8078943.50
2013/09/04	0.32	0.36	0.28	0.33	1099082	9755681.00
2013/09/05	0.35	0.36	0.31	0.34	1443091	12867963.00
2013/09/06	0.33	0.35	0.31	0.34	901392	8015469.00
2013/09/09	0.35	0.35	0.30	0.32	1433907	12707799.00
2013/09/10	0.31	0.34	0.29	0.30	1836761	16170767.00
2013/09/11	0.30	0.30	0.24	0.26	1735284	15042492.00
2013/09/12	0.25	0.27	0.24	0.25	1855479	16008104.00
2013/09/13	0.24	0.28	0.24	0.26	1702745	14782258.00
2013/09/16	0.28	0.30	0.26	0.29	1336332	11689660.00
2013/09/17	0.29	0.29	0.22	0.22	1271800	11002030.00
2013/09/18	0.22	0.26	0.20	0.26	847069	7251815.50
2013/09/23	0.26	0.36	0.26	0.36	2616542	23302436.00
2013/09/24	0.37	0.38	0.33	0.36	1766245	15905080.00
2013/09/25	0.35	0.36	0.33	0.33	1218680	10933546.00
2013/09/26	0.33	0.41	0.32	0.33	1497236	13529520.00
2013/09/27	0.34	0.37	0.32	0.36	745998	6679109.00
2013/09/30	0.36	0.40	0.33	0.39	1484471	13510584.00
2013/10/08	0.38	0.41	0.35	0.39	1453606	13193706.00
2013/10/09	0.37	0.48	0.37	0.47	2726551	25413026.00
2013/10/10	0.47	0.51	0.42	0.44	2382507	22455650.00
2013/10/11	0.48	0.48	0.41	0.46	1281917	11972480.00
2013/10/14	0.45	0.48	0.39	0.46	2333535	21721950.00
2013/10/15	0.44	0.46	0.38	0.41	1293319	11928865.00
2013/10/16	0.41	0.41	0.28	0.29	2532145	22567970.00
2013/10/17	0.30	0.33	0.27	0.31	2811721	24701096.00
2013/10/18	0.31	0.33	0.29	0.29	1176205	10376504.00
2013/10/21	0.31	0.38	0.30	0.38	1753735	15734029.00
2013/10/22	0.38	0.39	0.33	0.34	1448839	13083196.00
2013/10/23	0.34	0.36	0.25	0.26	1401247	12286614.00
2013/10/24	0.25	0.30	0.25	0.27	833576	7240867.00
2013/10/25	0.27	0.30	0.24	0.27	704661	6122443.00
2013/10/28	0.28	0.28	0.22	0.25	823149	7065527.00
2013/10/29	0.25	0.26	0.11	0.19	1131952	9509459.00
2013/10/30	0.18	0.23	0.18	0.23	588969	4999063.00
2013/10/31	0.22	0.28	0.20	0.25	601139	5146351.50
2013/11/01	0.26	0.26	0.21	0.25	412203	3527447.50
2013/11/04	0.25	0.28	0.23	0.26	348850	3019578.50
2013/11/05	0.25	0.28	0.23	0.28	960302	8310655.50
2013/11/06	0.25	0.29	0.24	0.26	628331	5479150.00
2013/11/07	0.24	0.26	0.21	0.21	790034	6731316.00
2013/11/08	0.17	0.21	0.15	0.17	485238	4047458.75
2013/11/11	0.16	0.20	0.13	0.20	721490	5993961.00
2013/11/12	0.18	0.25	0.18	0.23	610018	5200503.00
2013/11/13	0.23	0.23	0.18	0.21	1064968	8974073.00
2013/11/14	0.20	0.30	0.20	0.29	1755359	15203179.00
2013/11/15	0.27	0.37	0.27	0.35	2171477	19400052.00
2013/11/18	0.35	0.38	0.34	0.37	2029252	18326670.00
2013/11/19	0.36	0.43	0.35	0.41	2555639	23322214.00
2013/11/20	0.40	0.41	0.37	0.40	1463251	13340677.00
2013/11/21	0.39	0.43	0.38	0.40	1362097	12475886.00
2013/11/22	0.41	0.41	0.34	0.37	2127762	19239350.00
2013/11/25	0.37	0.42	0.36	0.38	2230426	20397486.00
2013/11/26	0.38	0.64	0.37	0.64	8345238	80670360.00
2013/11/27	0.64	0.87	0.61	0.83	14865881	155670576.00
2013/11/28	0.78	0.82	0.74	0.80	7444702	78281456.00
2013/11/29	0.77	1.09	0.77	1.09	10303525	115948352.00
2013/12/02	0.96	1.42	0.93	1.11	17757907	213395712.00
2013/12/03	0.91	1.43	0.79	1.38	15382947	181719168.00
2013/12/04	1.27	1.73	1.23	1.54	17331051	227272624.00
2013/12/05	1.44	1.80	1.39	1.56	16391425	223258208.00
2013/12/06	1.41	1.48	1.19	1.27	13315919	165211008.00
2013/12/09	1.28	1.36	1.21	1.27	8388704	103186120.00
2013/12/10	1.28	1.33	1.12	1.20	8849186	106551120.00
2013/12/11	1.18	1.28	1.07	1.14	7744022	92221952.00
2013/12/12	1.09	1.26	1.09	1.14	7642806	91443632.00
2013/12/13	1.14	1.26	1.05	1.25	6967738	83049008.00
2013/12/16	1.25	1.32	1.06	1.06	6478888	77183360.00
2013/12/17	1.04	1.07	0.90	0.98	6860745	77184184.00
2013/12/18	0.99	0.99	0.90	0.94	3821978	42344440.00
2013/12/19	0.95	0.99	0.92	0.96	4462675	49787740.00
2013/12/20	0.96	1.04	0.86	0.96	6384842	71606496.00
2013/12/23	0.93	0.97	0.72	0.81	5248171	55998852.00
2013/12/24	0.81	0.92	0.79	0.85	4437378	47875944.00
2013/12/25	0.84	1.09	0.84	1.07	8358186	94430376.00
2013/12/26	1.02	1.07	0.97	0.97	6367280	72379264.00
2013/12/27	0.95	1.24	0.92	1.16	8515838	99151504.00
2013/12/30	1.17	1.49	1.14	1.49	9101798	114241704.00
2013/12/31	1.52	1.56	1.29	1.34	8611399	109644136.00
2014/01/02	1.28	1.69	1.27	1.49	11736317	155690736.00
2014/01/03	1.45	1.54	1.28	1.31	8348489	105654888.00
2014/01/06	1.31	1.31	0.97	0.98	6843671	80825664.00
2014/01/07	0.94	1.08	0.90	1.05	5192196	59231652.00
2014/01/08	1.05	1.26	1.05	1.12	7047522	83796544.00
2014/01/09	1.07	1.15	0.88	0.92	6598063	74979328.00
2014/01/10	0.89	0.97	0.83	0.90	3690117	40442532.00
2014/01/13	0.90	0.99	0.90	0.96	3109029	34643340.00
2014/01/14	0.97	1.24	0.97	1.20	6722118	78861336.00
2014/01/15	1.18	1.35	1.15	1.28	7200877	88427736.00
2014/01/16	1.26	1.32	1.15	1.26	5306547	64540472.00
2014/01/17	1.23	1.35	1.22	1.28	5605549	69624808.00
2014/01/20	1.27	1.27	1.00	1.04	5384457	63289884.00
2014/01/21	1.05	1.36	0.98	1.36	9588214	113648696.00
2014/01/22	1.31	1.63	1.29	1.49	13386410	171934032.00
2014/01/23	1.46	1.60	1.40	1.49	8658724	114000688.00
2014/01/24	1.47	1.71	1.41	1.64	9708544	129756640.00
2014/01/27	1.54	1.57	1.36	1.46	8600465	111850024.00
2014/01/28	1.46	1.50	1.29	1.41	4621249	58683160.00
2014/01/29	1.41	1.49	1.39	1.44	4770547	61694096.00
2014/01/30	1.39	1.43	1.26	1.30	4340192	54062864.00
2014/02/07	1.24	1.64	1.22	1.64	6388825	83959464.00
2014/02/10	1.87	2.02	1.87	2.02	4560071	67793848.00
2014/02/11	2.38	2.38	1.88	2.13	16616340	254671392.00
2014/02/12	2.06	2.29	2.02	2.08	11156086	172640080.00
