300073 当升科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	2.10	2.14	2.09	2.13	2937844	29437536.00
2013/09/03	2.13	2.38	2.11	2.29	6899955	72885288.00
2013/09/04	2.31	2.43	2.28	2.33	7902933	86428080.00
2013/09/05	2.30	2.33	2.24	2.28	3468525	36892352.00
2013/09/06	2.28	2.37	2.24	2.33	5758000	62339768.00
2013/09/09	2.34	2.35	2.26	2.30	4252412	45577544.00
2013/09/10	2.29	2.30	2.22	2.25	3743680	39532128.00
2013/09/11	2.26	2.26	2.17	2.23	3603245	37380536.00
2013/09/12	2.22	2.38	2.22	2.37	8368396	91029448.00
2013/09/13	2.49	2.64	2.47	2.64	9403931	112538672.00
2013/09/16	2.66	2.94	2.62	2.71	21943461	277541760.00
2013/09/17	2.68	2.99	2.61	2.82	18429733	234473664.00
2013/09/18	2.79	2.81	2.67	2.75	9519634	119365952.00
2013/09/23	2.70	3.06	2.63	2.95	15118639	197419264.00
2013/09/24	2.89	2.98	2.87	2.90	9058829	119674832.00
2013/09/25	2.89	2.93	2.75	2.76	8048662	103170816.00
2013/09/26	2.76	2.95	2.76	2.80	7950069	102882248.00
2013/09/27	2.78	3.01	2.78	2.91	8796715	116755016.00
2013/09/30	2.88	3.14	2.87	3.00	8651164	117327608.00
2013/10/08	2.96	3.05	2.90	2.98	6633517	88685832.00
2013/10/09	2.96	2.96	2.88	2.96	6693934	88431112.00
2013/10/10	2.97	3.17	2.90	3.09	11505965	157366400.00
2013/10/11	3.05	3.09	2.98	3.03	6165126	84541144.00
2013/10/14	3.03	3.05	2.90	2.94	6344395	85034928.00
2013/10/15	2.91	2.98	2.81	2.83	6851704	89489704.00
2013/10/16	2.86	2.88	2.71	2.74	5850862	74243344.00
2013/10/17	2.74	2.81	2.70	2.72	3907411	49194528.00
2013/10/18	2.75	2.81	2.73	2.76	3206373	40419052.00
2013/10/21	2.77	2.90	2.75	2.86	4540011	58609120.00
2013/10/22	2.84	2.84	2.62	2.68	5031697	63297456.00
2013/10/23	2.68	2.74	2.55	2.57	4121055	49793512.00
2013/10/24	2.59	2.65	2.56	2.60	2763584	33009428.00
2013/10/25	2.57	2.63	2.42	2.47	3346683	38727752.00
2013/10/28	2.46	2.51	2.43	2.48	2380557	27284104.00
2013/10/29	2.49	2.52	2.24	2.34	4453797	48925892.00
2013/10/30	2.32	2.38	2.32	2.38	2380925	26099030.00
2013/10/31	2.38	2.51	2.31	2.44	4268525	47930044.00
2013/11/01	2.40	2.44	2.35	2.38	2646987	29421870.00
2013/11/04	2.37	2.45	2.36	2.39	1771037	19757160.00
2013/11/05	2.39	2.45	2.29	2.45	2670504	29635218.00
2013/11/06	2.42	2.49	2.39	2.39	3273405	37176348.00
2013/11/07	2.36	2.42	2.33	2.33	2264252	25045508.00
2013/11/08	2.32	2.35	2.24	2.27	2530425	27015864.00
2013/11/11	2.25	2.35	2.23	2.32	1489311	15936764.00
2013/11/12	2.32	2.41	2.31	2.40	2714625	30061946.00
2013/11/13	2.39	2.45	2.31	2.32	2288924	25310134.00
2013/11/14	2.32	2.41	2.27	2.41	2661241	29240968.00
2013/11/15	2.41	2.51	2.39	2.47	3690383	42075876.00
2013/11/18	2.45	2.53	2.45	2.52	4518860	51960752.00
2013/11/19	2.53	2.53	2.48	2.51	3322777	38374532.00
2013/11/20	2.55	2.59	2.49	2.54	4343228	50989740.00
2013/11/21	2.51	2.51	2.44	2.48	3452349	39443816.00
2013/11/22	2.47	2.53	2.46	2.46	2184099	25047382.00
2013/11/25	2.45	2.51	2.42	2.49	2385730	27366162.00
2013/11/26	2.47	2.53	2.46	2.50	2495084	28764882.00
2013/11/27	2.50	2.63	2.50	2.59	4994771	59277504.00
2013/11/28	2.60	2.66	2.57	2.58	4259749	51032736.00
2013/11/29	2.58	2.68	2.58	2.68	4571082	55453508.00
2013/12/02	2.53	2.56	2.37	2.37	5857255	66406392.00
2013/12/03	2.30	2.33	2.20	2.31	4384523	46406272.00
2013/12/04	2.32	2.36	2.29	2.31	3208122	34903696.00
2013/12/05	2.30	2.35	2.26	2.29	2764599	29853380.00
2013/12/06	2.28	2.31	2.25	2.30	2636092	28156788.00
2013/12/09	2.31	2.36	2.29	2.35	2360061	25719164.00
2013/12/10	2.35	2.36	2.29	2.29	2156103	23263926.00
2013/12/11	2.29	2.32	2.24	2.26	1716486	18336050.00
2013/12/12	2.28	2.33	2.26	2.30	1747339	18744852.00
2013/12/13	2.29	2.33	2.27	2.32	1572895	16992710.00
2013/12/16	2.31	2.37	2.30	2.34	2489132	27090202.00
2013/12/17	2.34	2.37	2.29	2.34	1677945	18232290.00
2013/12/18	2.36	2.47	2.33	2.45	4001528	44669840.00
2013/12/19	2.43	2.47	2.37	2.38	2971137	33349076.00
2013/12/20	2.36	2.39	2.27	2.32	2018640	21922478.00
2013/12/23	2.32	2.32	2.19	2.25	1485144	15611503.00
2013/12/24	2.26	2.31	2.24	2.29	1111922	11843767.00
2013/12/25	2.28	2.38	2.27	2.37	1823762	19893060.00
2013/12/26	2.37	2.40	2.30	2.31	1717403	18832790.00
2013/12/27	2.30	2.40	2.30	2.38	1927760	21309960.00
2013/12/30	2.41	2.45	2.38	2.42	2323059	26078942.00
2013/12/31	2.41	2.44	2.35	2.38	2338411	25994328.00
2014/01/02	2.37	2.45	2.35	2.44	3301067	37005160.00
2014/01/03	2.44	2.50	2.42	2.45	4341186	49440908.00
2014/01/06	2.48	2.54	2.38	2.39	4408659	50245964.00
2014/01/07	2.36	2.46	2.30	2.46	3166307	35238700.00
2014/01/08	2.46	2.55	2.46	2.51	4872695	56603260.00
2014/01/09	2.50	2.52	2.40	2.41	2889278	33021862.00
2014/01/10	2.40	2.45	2.32	2.33	2640479	29160140.00
2014/01/13	2.33	2.41	2.33	2.37	1844931	20325286.00
2014/01/14	2.36	2.48	2.36	2.48	2324868	26226820.00
2014/01/15	2.49	2.62	2.47	2.56	5873263	69131128.00
2014/01/16	2.56	2.65	2.51	2.59	6410066	76248408.00
2014/01/17	2.55	2.64	2.53	2.59	4428267	52651020.00
2014/01/20	2.57	2.61	2.47	2.48	3320379	38615072.00
2014/01/21	2.49	2.60	2.48	2.59	3494950	41043612.00
2014/01/22	2.57	2.67	2.55	2.63	5981065	71871080.00
2014/01/23	2.64	2.71	2.62	2.67	4866359	59795896.00
2014/01/24	2.68	2.86	2.68	2.80	8129739	103711088.00
2014/01/27	2.79	2.91	2.76	2.78	7270007	93760768.00
2014/01/28	2.78	2.87	2.72	2.84	5627944	71863240.00
2014/01/29	2.80	2.84	2.73	2.81	4615683	58693144.00
2014/01/30	2.80	2.88	2.78	2.82	2722013	35034432.00
2014/02/07	2.79	3.03	2.79	2.99	5212357	69826752.00
2014/02/10	3.02	3.26	3.01	3.13	10548426	149821952.00
2014/02/11	3.15	3.36	2.99	3.25	12691886	180007680.00
2014/02/12	3.25	3.62	3.16	3.51	19429391	300356896.00
2014/02/13	3.44	3.57	3.30	3.34	13618520	208518400.00
2014/02/14	3.35	3.57	3.30	3.53	12375717	189761568.00
2014/02/17	3.54	3.73	3.44	3.57	13038706	206190416.00
2014/02/18	3.52	3.52	3.39	3.43	10280407	157174704.00
2014/02/19	3.43	3.47	3.28	3.31	9168803	137057232.00
2014/02/20	3.33	3.35	3.18	3.21	6549088	95331904.00
2014/02/21	3.20	3.28	3.16	3.27	6412633	92658104.00
2014/02/24	3.25	3.36	3.17	3.36	7509182	110141432.00
2014/02/25	3.37	3.65	3.12	3.35	16874208	257700752.00
2014/02/26	3.35	3.71	3.20	3.70	15237676	238528400.00
2014/02/27	3.74	4.08	3.66	3.79	16191595	275234432.00
2014/02/28	3.67	4.03	3.56	3.81	12551877	210167632.00
2014/03/03	3.89	4.13	3.81	4.10	12257107	215024800.00
2014/03/04	4.01	4.29	3.96	4.13	10871355	197355840.00
2014/03/05	4.11	4.36	4.00	4.33	9882391	181619824.00
2014/03/06	4.27	4.41	4.03	4.19	8852439	160559520.00
2014/03/07	4.12	4.31	3.95	4.04	7433809	132271360.00
2014/03/10	3.93	3.99	3.61	3.62	8846913	146799552.00
2014/03/11	3.66	3.69	3.38	3.46	7193345	113177024.00
2014/03/12	3.46	3.61	3.24	3.55	7371452	113762688.00
2014/03/13	3.51	3.67	3.47	3.56	5305623	83827328.00
2014/03/14	3.52	3.54	3.38	3.45	3622853	55808808.00
2014/03/17	3.44	3.74	3.39	3.68	5915703	94845416.00
2014/03/18	3.69	3.88	3.65	3.77	6168570	102734176.00
2014/03/19	3.69	3.93	3.69	3.92	5915981	99902184.00
