300213 佳讯飞鸿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	2.09	2.17	2.04	2.15	1762949	25533894.00
2013/09/03	2.12	2.20	2.11	2.18	2387973	35086892.00
2013/09/04	2.17	2.32	2.17	2.23	3266603	50036668.00
2013/09/05	2.21	2.25	2.16	2.23	1744201	26120754.00
2013/09/06	2.24	2.35	2.17	2.34	4485419	69242760.00
2013/09/09	2.35	2.38	2.27	2.37	3398176	53410272.00
2013/09/10	2.35	2.35	2.21	2.24	2883394	44101496.00
2013/09/11	2.24	2.24	1.99	2.06	2635781	37587236.00
2013/09/12	2.02	2.11	2.01	2.05	1087282	15412331.00
2013/09/13	2.02	2.10	2.02	2.07	1129415	16040055.00
2013/09/16	2.07	2.13	2.05	2.11	1322480	19010040.00
2013/09/17	2.09	2.17	2.09	2.13	1521169	22151238.00
2013/09/18	2.13	2.16	2.04	2.06	1983944	28394408.00
2013/09/23	2.05	2.11	2.05	2.10	1754369	25032272.00
2013/09/24	2.09	2.13	2.07	2.11	1517862	21785604.00
2013/09/25	2.11	2.11	2.06	2.07	1154588	16452810.00
2013/09/26	2.07	2.08	1.99	1.99	1452916	20226960.00
2013/09/27	1.99	2.05	1.99	2.03	679109	9434949.00
2013/09/30	2.03	2.13	2.03	2.11	1158819	16563285.00
2013/10/08	2.12	2.35	2.06	2.33	4518156	68226984.00
2013/10/09	2.27	2.36	2.27	2.33	3872859	60693536.00
2013/10/10	2.32	2.47	2.29	2.36	4113652	65918504.00
2013/10/11	2.47	2.63	2.47	2.63	3985489	69176184.00
2013/10/14	2.64	2.82	2.61	2.64	7146810	127742720.00
2013/10/15	2.60	2.62	2.51	2.57	3354068	57410216.00
2013/10/16	2.62	2.70	2.36	2.45	4523833	76773752.00
2013/10/17	2.52	2.58	2.41	2.44	2089329	34925440.00
2013/10/18	2.46	2.60	2.37	2.60	2696922	45632676.00
2013/10/21	2.66	2.89	2.60	2.89	6203190	113729280.00
2013/10/22	2.87	2.87	2.57	2.67	7033564	127729640.00
2013/10/23	2.61	2.65	2.42	2.54	3322344	56180100.00
2013/10/24	2.51	2.71	2.46	2.58	2813183	49085152.00
2013/10/25	2.56	2.61	2.43	2.47	2270687	38142932.00
2013/10/28	2.48	2.54	2.44	2.49	1245364	20836712.00
2013/10/29	2.49	2.57	2.22	2.47	2384448	38726632.00
2013/10/30	2.42	2.62	2.29	2.56	3902815	64846808.00
2013/10/31	2.66	2.71	2.50	2.50	3813500	66315760.00
2013/11/01	2.43	2.52	2.36	2.44	1716958	27919984.00
2013/11/04	2.45	2.48	2.38	2.47	1110664	18209144.00
2013/11/05	2.40	2.55	2.40	2.54	1387332	23192584.00
2013/11/06	2.52	2.62	2.48	2.49	1923299	32975106.00
2013/11/07	2.42	2.54	2.42	2.50	1142464	19156970.00
2013/11/08	2.46	2.54	2.45	2.46	768590	12838295.00
2013/11/11	2.46	2.69	2.46	2.66	2867927	49974016.00
2013/11/12	2.64	2.95	2.63	2.95	7926109	149658960.00
2013/11/13	2.92	3.27	2.89	3.24	9745948	195406192.00
2013/11/14	3.13	3.41	3.02	3.34	10977982	231491792.00
2013/11/15	3.26	3.34	3.18	3.19	10218151	217090928.00
2013/11/18	3.17	3.22	3.09	3.16	7971638	164427072.00
2013/11/19	3.19	3.20	3.08	3.10	5347286	109245976.00
2013/11/20	3.11	3.15	3.06	3.13	4225030	86227024.00
2013/11/21	3.13	3.16	2.98	2.99	4493126	90320488.00
2013/11/22	2.99	3.06	2.90	2.92	3135604	61574748.00
2013/11/25	2.87	3.00	2.87	2.94	2556234	49771796.00
2013/11/26	2.96	3.09	2.95	2.95	5527316	109981256.00
2013/11/27	2.93	3.07	2.91	3.01	4394143	87233408.00
2013/11/28	3.03	3.15	3.02	3.08	4800550	97253160.00
2013/11/29	3.04	3.28	3.04	3.22	6364987	130871576.00
2013/12/02	3.04	3.04	2.87	2.87	4281968	82322584.00
2013/12/03	2.67	2.74	2.55	2.65	4744007	83093488.00
2013/12/04	2.66	2.74	2.54	2.54	3512824	62124600.00
2013/12/05	2.46	2.52	2.38	2.39	3887014	63587864.00
2013/12/06	2.39	2.44	2.39	2.41	1548438	25190216.00
2013/12/09	2.44	2.48	2.41	2.47	1948879	32172384.00
2013/12/10	2.47	2.49	2.41	2.42	1622100	26497604.00
2013/12/11	2.41	2.48	2.40	2.45	1455415	23898088.00
2013/12/12	2.45	2.57	2.42	2.54	2573073	43432224.00
2013/12/13	2.52	2.65	2.48	2.62	2720687	47031736.00
2013/12/16	2.57	2.64	2.50	2.54	1491170	25594888.00
2013/12/17	2.50	2.57	2.44	2.46	1372881	22808800.00
2013/12/18	2.46	2.50	2.42	2.47	915481	15153475.00
