300322 硕贝德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.15	5.24	5.04	5.10	2651999	60862396.00
2013/09/03	5.13	5.43	5.09	5.43	3648695	86241616.00
2013/09/04	5.45	5.47	5.28	5.37	1822716	43804676.00
2013/09/05	5.38	5.58	5.33	5.54	2644045	64929608.00
2013/09/06	5.47	5.56	5.41	5.47	2007987	49272812.00
2013/09/09	5.45	5.47	5.13	5.34	2167387	51584204.00
2013/09/10	5.24	5.36	5.14	5.24	1681550	39265096.00
2013/09/11	5.17	5.17	4.71	4.94	3438189	75623568.00
2013/09/12	4.94	4.99	4.75	4.90	1641481	35850948.00
2013/09/13	4.96	5.17	4.80	5.01	3435210	77024808.00
2013/09/16	5.22	5.24	4.84	4.88	5313642	119273440.00
2013/09/17	4.85	4.98	4.80	4.86	2304485	50575896.00
2013/09/18	4.89	4.89	4.59	4.64	3874632	81553232.00
2013/09/23	4.66	4.84	4.60	4.76	3308872	70333488.00
2013/09/24	4.80	4.93	4.77	4.91	4113145	90249568.00
2013/09/25	5.10	5.42	5.10	5.42	8516731	204693168.00
2013/09/26	5.41	5.50	5.25	5.26	6507237	155898496.00
2013/09/27	5.33	5.47	5.27	5.33	3217113	77415672.00
2013/09/30	5.33	5.43	5.26	5.38	2312327	55539272.00
2013/10/08	5.38	5.58	5.18	5.58	5295976	127995688.00
2013/10/09	5.50	5.63	5.50	5.54	3907161	97107328.00
2013/10/10	5.65	5.82	5.54	5.54	4963208	126113944.00
2013/10/11	5.53	5.68	5.31	5.35	3628337	88058240.00
2013/10/14	5.34	5.42	5.27	5.34	2549482	60728392.00
2013/10/15	5.36	5.36	4.97	5.16	3804548	87983456.00
2013/10/16	5.15	5.15	4.88	4.97	2032493	45242052.00
2013/10/17	4.97	5.04	4.92	4.97	1291570	28896968.00
2013/10/18	4.99	5.06	4.95	4.99	1149933	25854152.00
2013/10/21	5.04	5.19	4.85	5.15	1984380	44776460.00
2013/10/22	5.15	5.19	4.79	4.83	3241015	71851328.00
