300328 宜安科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	3.93	3.97	3.88	3.96	1174830	17700614.00
2013/09/03	3.94	4.09	3.94	4.04	921378	14225136.00
2013/09/04	4.05	4.05	3.98	3.98	818876	12596086.00
2013/09/05	4.01	4.19	4.01	4.14	2897975	45825156.00
2013/09/06	4.21	4.22	4.09	4.16	1858064	29637570.00
2013/09/09	4.21	4.60	4.20	4.60	6971525	120769368.00
2013/09/10	4.56	4.82	4.56	4.64	5492659	97675080.00
2013/09/11	4.71	4.71	4.42	4.51	2695742	46454672.00
2013/09/12	4.46	4.54	4.38	4.44	2047657	34785020.00
2013/09/13	4.42	4.52	4.40	4.49	1610030	27490992.00
2013/09/16	4.53	4.58	4.40	4.44	1334355	22786272.00
2013/09/17	4.40	4.54	4.40	4.46	1872998	32087186.00
2013/09/18	4.43	4.51	4.32	4.41	1140084	19029164.00
2013/09/23	4.38	4.54	4.37	4.52	1543210	26391910.00
2013/09/24	4.49	4.54	4.40	4.49	1093077	18652960.00
2013/09/25	4.51	4.78	4.48	4.56	2204035	38827204.00
2013/09/26	4.59	4.64	4.37	4.38	1690961	28766176.00
2013/09/27	4.44	4.55	4.37	4.40	710160	12075143.00
2013/09/30	4.41	4.53	4.37	4.47	842945	14248662.00
2013/10/08	4.46	4.58	4.42	4.54	1283881	22100680.00
2013/10/09	4.53	4.58	4.46	4.54	2009311	34606272.00
2013/10/10	4.54	4.58	4.47	4.48	1534457	26425740.00
2013/10/11	4.51	4.53	4.34	4.44	1921541	32462268.00
2013/10/14	4.44	4.44	4.34	4.39	1937656	32376616.00
2013/10/15	4.40	4.43	4.35	4.43	1376133	23093896.00
2013/10/16	4.40	4.43	4.04	4.10	2010426	32317834.00
2013/10/17	4.09	4.22	4.05	4.08	1829650	28791892.00
2013/10/18	4.08	4.19	4.08	4.14	672201	10663113.00
2013/10/21	4.13	4.26	4.12	4.25	1529623	24694368.00
2013/10/22	4.26	4.26	4.11	4.14	1514266	24153278.00
2013/10/23	4.14	4.17	4.03	4.04	899543	14091233.00
2013/10/24	4.04	4.08	4.00	4.05	616715	9560992.00
2013/10/25	4.07	4.08	3.95	4.00	632416	9743890.00
2013/10/28	4.01	4.14	3.98	4.12	790210	12376601.00
2013/10/29	4.09	4.14	3.78	3.84	1370167	20520370.00
2013/10/30	3.84	3.99	3.81	3.96	1132982	16999280.00
2013/10/31	3.95	4.15	3.89	4.00	1229191	19086318.00
2013/11/01	3.98	4.02	3.86	3.99	736353	11176336.00
2013/11/04	3.99	4.11	3.95	4.06	829512	12867497.00
2013/11/05	4.06	4.18	4.06	4.12	1162420	18348776.00
2013/11/06	4.07	4.18	4.04	4.05	1010350	15933375.00
2013/11/07	4.03	4.07	3.95	3.96	788603	12143244.00
2013/11/08	3.96	3.98	3.80	3.91	816666	12207099.00
2013/11/11	3.90	4.26	3.85	4.13	1620983	25522426.00
2013/11/12	4.18	4.48	4.13	4.37	3847921	63850180.00
2013/11/13	4.34	4.37	4.24	4.31	2185452	35887624.00
2013/11/14	4.32	4.65	4.30	4.51	3768094	64978780.00
2013/11/15	4.54	4.88	4.51	4.84	5581635	100043744.00
2013/11/18	4.87	4.96	4.69	4.84	4722368	86661112.00
2013/11/19	4.82	5.06	4.75	4.87	3725113	69485744.00
2013/11/20	4.85	4.95	4.74	4.82	3083699	56298412.00
2013/11/21	4.86	4.89	4.66	4.68	2648522	47945276.00
2013/11/22	4.71	4.86	4.65	4.79	2566611	46701700.00
2013/11/25	4.77	5.20	4.74	5.09	3817714	72927456.00
2013/11/26	5.07	5.33	4.98	5.06	3714121	72414896.00
2013/11/27	5.06	5.24	5.02	5.15	2473881	48033284.00
2013/11/28	5.14	5.54	5.08	5.45	2992450	60320428.00
2013/11/29	5.43	5.91	5.43	5.65	4049922	86904632.00
2013/12/02	5.06	5.29	5.06	5.06	2097130	40350124.00
2013/12/03	4.71	4.93	4.52	4.81	4354669	77287304.00
2013/12/04	4.75	4.93	4.59	4.60	3194330	58058992.00
2013/12/05	4.53	4.66	4.47	4.54	3003820	51952932.00
2013/12/06	4.54	4.64	4.48	4.51	2503309	43474988.00
2013/12/09	4.52	4.78	4.52	4.70	2578089	45680348.00
2013/12/10	4.73	4.73	4.59	4.63	1853227	32765062.00
2013/12/11	4.65	4.83	4.62	4.73	2107512	37871396.00
2013/12/12	4.71	4.82	4.68	4.74	1567699	28360228.00
2013/12/13	4.74	4.84	4.69	4.77	1498091	27165656.00
2013/12/16	4.77	4.84	4.61	4.67	1598311	28685690.00
2013/12/17	4.73	4.73	4.53	4.62	960386	16994744.00
2013/12/18	4.60	4.64	4.49	4.57	829401	14421823.00
2013/12/19	4.61	4.65	4.54	4.54	744737	13031925.00
2013/12/20	4.57	4.62	4.53	4.58	739426	12865515.00
2013/12/23	4.59	4.59	4.36	4.48	868286	14774537.00
2013/12/24	4.48	4.68	4.48	4.61	1047427	18367726.00
2013/12/25	4.70	4.99	4.67	4.92	2588187	47847172.00
2013/12/26	4.92	4.99	4.83	4.86	2330487	43524700.00
2013/12/27	4.86	5.28	4.86	5.21	2970464	57422772.00
2013/12/30	5.18	5.31	5.12	5.20	2329194	45910320.00
2013/12/31	5.09	5.17	4.94	5.02	2249669	42836712.00
2014/01/02	4.96	5.16	4.93	5.10	1619277	31145222.00
2014/01/03	5.09	5.17	5.01	5.07	1698470	32748482.00
2014/01/06	5.02	5.03	4.67	4.72	1631756	30120580.00
2014/01/07	4.68	4.84	4.65	4.84	1299237	23514156.00
2014/01/08	4.86	4.99	4.84	4.90	1624887	30330068.00
2014/01/09	4.90	4.96	4.69	4.70	1567221	28914654.00
2014/01/10	4.68	4.90	4.65	4.76	896985	16267367.00
2014/01/13	4.78	4.94	4.76	4.86	1177401	21693216.00
2014/01/14	4.89	5.36	4.75	5.21	2880045	55454548.00
2014/01/15	5.24	5.42	5.14	5.30	3416658	68151584.00
2014/01/16	5.29	5.36	5.18	5.24	2450809	48820564.00
2014/01/17	5.24	5.57	5.21	5.46	4025760	82837696.00
2014/01/20	5.47	5.55	5.20	5.36	2798956	56680768.00
2014/01/21	5.41	5.56	5.26	5.53	2532841	51912984.00
2014/01/22	5.52	5.54	5.29	5.47	2449866	50271564.00
2014/01/23	5.43	5.68	5.39	5.55	2933948	61438476.00
2014/01/24	5.51	5.70	5.46	5.55	2578637	54281764.00
2014/01/27	5.40	5.42	5.26	5.26	2954599	59383128.00
2014/01/28	5.24	5.31	5.08	5.18	1897672	37161368.00
2014/01/29	5.34	5.73	5.26	5.57	3309470	68830968.00
2014/01/30	5.50	5.56	5.29	5.41	1669188	34299148.00
2014/02/07	5.29	5.50	5.29	5.48	2002820	40943264.00
2014/02/10	5.48	5.72	5.42	5.64	2998190	62974512.00
2014/02/11	5.64	5.95	5.55	5.81	4795333	104848696.00
2014/02/12	5.80	6.25	5.66	6.24	4565937	102938968.00
2014/02/13	6.13	6.34	5.94	5.96	3861833	89456224.00
2014/02/14	6.04	6.23	5.96	6.17	2360948	54305260.00
2014/02/17	6.29	6.59	6.23	6.43	2918066	69862816.00
2014/02/18	6.45	6.46	6.26	6.33	1819873	43370148.00
2014/02/19	6.30	6.35	5.99	6.12	2133232	49031420.00
2014/02/20	6.12	6.14	5.82	5.92	1605960	35942296.00
2014/02/21	5.90	6.12	5.88	6.01	1259868	28568946.00
2014/02/24	6.01	6.13	5.78	6.08	1581523	35411996.00
2014/02/25	6.08	6.37	5.80	6.00	3471613	79589704.00
2014/02/26	5.98	6.04	5.60	5.95	1863713	41500244.00
2014/02/27	6.01	6.01	5.51	5.61	3116500	67161752.00
2014/02/28	5.61	5.61	5.35	5.51	1238722	25617832.00
2014/03/03	5.56	5.56	5.46	5.53	1246589	25977906.00
2014/03/04	5.50	5.57	5.30	5.49	1358673	28028878.00
2014/03/05	5.54	5.55	5.40	5.54	1259372	26095722.00
2014/03/06	5.55	5.55	5.34	5.48	1156833	23855176.00
2014/03/07	5.45	5.64	5.45	5.53	1272156	26674972.00
2014/03/10	5.48	5.48	5.18	5.18	1245856	25026710.00
2014/03/11	5.24	5.29	5.04	5.22	681320	13412607.00
2014/03/12	5.21	5.26	5.07	5.15	602221	11777492.00
2014/03/13	5.16	5.27	5.15	5.27	380611	7512887.50
2014/03/14	5.22	5.32	5.16	5.31	631737	12523780.00
2014/03/17	5.33	5.55	5.27	5.53	944357	19469736.00
2014/03/18	5.50	5.59	5.46	5.51	669089	13969868.00
2014/03/19	5.51	5.51	5.29	5.38	571777	11645991.00
2014/03/20	5.35	5.43	4.91	4.96	1881455	36669792.00
2014/03/21	4.98	5.09	4.88	5.06	910716	17149718.00
2014/03/24	5.07	5.08	4.93	4.99	624818	11850537.00
2014/03/25	5.00	5.10	4.96	5.03	497242	9489435.00
2014/03/26	5.06	5.19	5.01	5.08	620104	11979366.00
2014/03/27	5.08	5.08	4.88	4.90	885692	16585820.00
2014/03/28	4.89	4.94	4.79	4.85	615762	11399828.00
2014/03/31	4.84	4.90	4.76	4.90	427914	7876980.50
2014/04/01	4.89	5.01	4.89	4.98	434020	8178613.50
2014/04/02	5.09	5.09	4.90	4.93	309570	5810649.00
2014/04/03	4.97	5.06	4.94	4.99	396598	7509630.50
2014/04/04	4.92	5.03	4.89	5.03	365279	6882954.50
2014/04/08	4.68	4.90	4.68	4.82	963939	17507028.00
2014/04/09	4.81	4.90	4.80	4.88	469147	8663755.00
2014/04/10	4.88	5.09	4.88	4.96	804522	15320621.00
2014/04/11	4.90	4.92	4.82	4.91	480684	8872633.00
2014/04/14	4.94	5.04	4.89	5.02	446643	8440026.00
2014/04/15	5.01	5.09	4.99	5.01	449090	8570735.00
2014/04/16	5.00	5.07	4.97	5.02	379389	7214053.00
2014/04/17	5.06	5.07	5.03	5.03	491923	9410445.00
2014/04/18	5.00	5.07	4.93	5.03	414391	7872982.50
2014/04/21	4.94	5.07	4.94	4.94	295794	5612486.00
2014/04/22	4.94	5.01	4.76	4.82	487955	8966252.00
2014/04/23	4.92	4.92	4.74	4.80	323964	5920668.00
2014/04/24	4.81	4.81	4.59	4.63	594788	10635197.00
2014/04/25	4.64	4.64	4.41	4.41	816131	14046972.00
2014/04/28	4.41	4.50	4.36	4.42	532857	9012929.00
2014/04/29	4.40	4.50	4.39	4.48	314176	5321555.00
2014/04/30	4.48	4.51	4.43	4.48	234291	3996870.75
2014/05/05	4.49	4.59	4.48	4.57	283932	4922144.00
2014/05/06	4.55	4.80	4.55	4.72	520273	9335113.00
2014/05/07	4.72	4.78	4.59	4.60	461104	8213466.00
2014/05/08	4.54	4.72	4.52	4.62	289660	5118307.00
2014/05/09	4.60	4.80	4.49	4.73	855420	15292346.00
2014/05/12	4.73	4.89	4.69	4.83	514282	9399980.00
2014/05/13	4.75	4.86	4.70	4.73	462171	8345207.50
2014/05/14	4.73	4.78	4.62	4.71	376125	6722182.00
2014/05/15	4.69	4.74	4.59	4.60	368693	6541347.50
2014/05/16	4.60	4.68	4.57	4.62	352351	6197593.00
2014/05/19	4.64	4.73	4.57	4.64	247080	4333598.50
2014/05/20	4.66	4.81	4.66	4.77	549356	9947609.00
2014/05/21	4.77	4.78	4.65	4.78	405756	7317681.00
2014/05/22	4.80	5.04	4.76	4.92	1140357	21289150.00
2014/05/23	4.94	4.97	4.85	4.96	776522	14493496.00
2014/05/26	4.93	5.06	4.93	4.99	707335	13371582.00
2014/05/27	4.99	5.01	4.92	4.93	497681	9353199.00
2014/05/28	4.95	5.11	4.93	5.07	710240	13597146.00
2014/05/29	5.04	5.08	4.93	4.96	608035	11538642.00
2014/05/30	4.93	5.11	4.91	5.07	831340	15832307.00
2014/06/03	5.07	5.20	5.04	5.14	790481	15300222.00
2014/06/04	5.13	5.13	4.91	4.96	725963	13699774.00
2014/06/05	4.96	5.03	4.92	5.02	453081	8529373.00
2014/06/06	5.03	5.04	4.93	4.94	502790	9460896.00
2014/06/09	4.96	5.02	4.91	4.94	456499	8517672.00
2014/06/10	4.96	5.03	4.91	5.02	523656	9843314.00
2014/06/11	5.01	5.08	4.98	5.07	661965	12594483.00
2014/06/12	5.04	5.41	5.04	5.23	1739777	34420564.00
2014/06/13	5.20	5.43	5.18	5.32	1269612	25592088.00
2014/06/16	5.32	5.41	5.25	5.28	1049220	20931534.00
2014/06/17	5.28	5.31	5.18	5.22	725597	14316004.00
2014/06/18	5.22	5.26	5.12	5.22	648226	12637185.00
2014/06/19	5.16	5.24	4.92	4.97	799008	15281499.00
2014/06/20	4.97	5.05	4.93	5.04	456389	8616675.00
2014/06/23	5.08	5.23	5.04	5.15	834519	16278348.00
2014/06/24	5.15	5.37	5.13	5.31	1300347	25819188.00
2014/06/25	5.28	5.41	5.21	5.37	1500850	30072304.00
2014/06/26	5.43	5.53	5.37	5.40	2369581	48747964.00
2014/06/27	5.38	5.53	5.38	5.48	1462571	30080542.00
2014/06/30	5.59	6.05	5.57	6.05	5079545	113351520.00
2014/07/01	6.15	6.15	5.86	5.93	3520210	78647632.00
2014/07/02	6.08	6.21	5.76	5.92	3219942	71940456.00
2014/07/03	5.81	5.95	5.75	5.81	2854884	62351852.00
2014/07/04	5.82	5.90	5.71	5.90	1840443	40080252.00
2014/07/07	5.90	5.90	5.77	5.83	1341147	29294428.00
2014/07/08	5.84	6.43	5.84	6.43	5446343	127364120.00
2014/07/09	6.48	7.10	6.48	6.85	7994120	202550544.00
2014/07/10	6.98	7.21	6.81	6.95	5202425	135574080.00
2014/07/11	6.84	7.05	6.78	6.93	3271158	84075120.00
2014/07/14	6.98	7.01	6.76	6.80	2667934	68010944.00
2014/07/15	6.68	7.09	6.52	6.96	4277039	108713000.00
2014/07/16	6.86	6.86	6.43	6.51	3684462	90518504.00
2014/07/17	6.57	6.64	6.30	6.48	1830232	44113108.00
2014/07/18	6.48	6.96	6.43	6.63	2582980	64705784.00
2014/07/21	6.57	6.70	6.43	6.55	1161530	28526358.00
2014/07/22	6.49	6.62	6.48	6.51	1053605	25696710.00
2014/07/23	6.54	6.54	5.96	5.99	2833453	65424536.00
2014/07/24	5.97	6.01	5.76	5.90	1406247	31009780.00
2014/07/25	5.92	6.01	5.81	5.97	987118	21838530.00
2014/07/28	5.97	6.08	5.97	6.05	1410319	31761926.00
2014/07/29	6.08	6.18	5.98	6.12	1484401	33705256.00
2014/07/30	6.09	6.12	5.99	6.12	1066653	24208452.00
2014/07/31	6.11	6.32	6.07	6.24	1713475	39841340.00
2014/08/01	6.23	6.26	5.98	6.01	1057160	24174828.00
2014/08/04	5.96	6.43	5.96	6.37	2054209	48335872.00
2014/08/05	6.37	6.45	6.23	6.37	1243234	29470962.00
2014/08/06	6.32	6.43	6.28	6.35	1020120	24246460.00
2014/08/07	6.36	6.36	6.15	6.16	999748	23381800.00
2014/08/08	6.11	6.21	6.08	6.17	678108	15559712.00
2014/08/11	6.18	6.18	6.08	6.16	995834	22834822.00
2014/08/12	6.18	6.48	6.15	6.44	2101629	49949072.00
2014/08/13	6.46	6.47	6.29	6.37	1207276	28683584.00
2014/08/14	6.36	6.76	6.33	6.54	2573134	63537856.00
2014/08/15	6.52	6.78	6.52	6.63	1650188	41063112.00
2014/08/18	6.75	6.84	6.65	6.72	1616926	40547488.00
2014/08/19	6.70	6.81	6.62	6.77	1711825	42925388.00
2014/08/20	6.71	6.76	6.48	6.62	1586254	39195636.00
2014/08/21	6.59	6.87	6.59	6.86	1688452	42525052.00
2014/08/22	6.79	7.04	6.79	6.90	1216334	31283110.00
2014/08/25	6.87	6.97	6.64	6.70	877811	22023380.00
2014/08/26	6.73	6.83	6.39	6.42	1208710	29407608.00
2014/08/27	6.51	6.72	6.45	6.68	903068	22239292.00
2014/08/28	6.65	6.76	6.55	6.58	469984	11605411.00
2014/08/29	6.65	6.68	6.51	6.66	533224	13197088.00
2014/09/01	6.84	6.91	6.72	6.82	1005687	25599190.00
2014/09/02	6.89	6.96	6.77	6.90	1183589	30280826.00
2014/09/03	6.91	7.62	6.91	7.62	3991620	110956280.00
2014/09/04	7.54	7.72	7.44	7.62	2630990	73990184.00
2014/09/05	7.66	7.66	7.41	7.55	1680056	47159884.00
2014/09/09	7.49	7.81	7.48	7.67	1737017	49574376.00
2014/09/10	7.59	8.03	7.44	7.87	2058745	59586624.00
2014/09/11	7.96	8.09	7.48	7.54	2397950	69260192.00
2014/09/12	7.48	8.32	7.39	8.32	2761002	81430648.00
2014/09/15	8.37	8.45	8.14	8.33	1726047	52878840.00
2014/09/16	8.32	8.32	7.76	7.82	2153963	63957044.00
2014/09/17	7.87	7.89	7.63	7.76	1123943	32319944.00
2014/09/18	7.76	8.32	7.69	7.93	1392750	41542116.00
2014/09/19	7.83	8.06	7.83	8.01	591907	17515800.00
2014/09/22	8.03	8.15	7.71	7.88	902531	26806492.00
2014/09/23	8.09	8.68	7.98	8.65	2001555	62448304.00
2014/09/24	8.51	9.25	8.43	9.12	2119521	70254712.00
2014/09/25	9.21	10.05	8.98	10.01	3621696	130447232.00
2014/09/26	10.22	10.22	9.62	9.81	2041524	74425000.00
2014/09/29	9.91	10.82	9.82	10.82	3133042	122082592.00
2014/09/30	11.15	11.32	10.56	10.87	3425918	138010736.00
2014/10/08	10.87	10.89	10.24	10.65	2551831	98657456.00
2014/10/09	10.48	10.59	10.18	10.37	2857791	108809944.00
2014/10/10	10.39	10.39	10.06	10.12	2201682	82609976.00
2014/10/13	10.06	10.36	10.06	10.21	1819135	68482528.00
2014/10/14	10.19	10.24	9.76	9.79	1912140	70340416.00
2014/10/15	9.81	9.89	9.40	9.69	2503254	88644608.00
2014/10/16	9.61	9.69	9.48	9.48	1646200	58171332.00
2014/10/17	9.48	9.71	9.39	9.56	1492540	52697208.00
2014/10/20	9.46	9.72	9.43	9.68	1175021	41791448.00
2014/10/21	9.71	9.96	9.62	9.62	1447308	52195964.00
2014/10/22	9.64	9.69	9.10	9.13	1966706	67377216.00
2014/10/23	8.97	9.03	8.65	8.76	1557073	50750620.00
2014/10/24	8.78	9.02	8.66	8.79	836336	27349488.00
2014/10/27	8.69	8.99	8.69	8.91	673273	22211960.00
2014/10/28	8.97	9.62	8.93	9.48	2151775	74370672.00
2014/10/29	9.48	9.66	9.37	9.51	1356600	47590824.00
2014/10/30	9.59	9.64	9.35	9.37	1038140	36300560.00
2014/10/31	9.35	9.47	8.96	9.08	1207243	40780112.00
2014/11/03	9.07	9.25	8.98	9.25	893252	30143696.00
2014/11/04	9.21	10.20	9.12	10.20	3656194	134068648.00
2014/11/05	10.21	10.66	9.98	10.08	2382806	90545984.00
2014/11/06	10.13	10.58	9.82	10.40	2466707	93380080.00
2014/11/07	10.41	10.63	10.18	10.35	1819445	69682544.00
2014/11/10	10.28	10.62	10.28	10.59	1685433	65230716.00
2014/11/11	10.59	10.60	9.90	9.90	1886196	70400624.00
2014/11/12	9.78	10.26	9.38	9.63	1757991	63081672.00
2014/11/13	9.48	9.62	8.83	8.90	2112890	70896304.00
2014/11/14	8.88	9.21	8.75	8.90	976352	32231072.00
2014/11/17	8.90	9.32	8.82	9.14	1031794	34766172.00
2014/11/18	9.12	9.32	9.03	9.17	823178	28023622.00
2014/11/19	9.18	9.36	9.16	9.21	768462	26252332.00
2014/11/20	9.16	9.20	8.87	8.95	1054873	35024896.00
2014/11/21	8.93	9.53	8.93	9.39	1603352	55139300.00
2014/11/24	9.38	9.76	9.38	9.72	1298908	45600972.00
2014/11/25	9.90	10.62	9.82	10.46	2406830	91915088.00
2014/11/26	10.40	10.40	10.05	10.28	1337213	50347904.00
2014/11/27	10.29	10.46	10.11	10.16	1318488	49796368.00
2014/11/28	10.17	10.71	10.07	10.59	2295968	88662592.00
2014/12/01	10.57	11.15	10.13	10.31	1837862	71074128.00
2014/12/02	10.15	10.69	10.15	10.27	1466411	56010980.00
2014/12/03	10.32	10.45	10.09	10.45	1568807	59184596.00
2014/12/04	10.48	10.98	10.46	10.73	1791708	70251576.00
2014/12/05	10.56	10.71	9.82	10.00	1963192	73732672.00
2014/12/08	9.89	9.89	9.49	9.61	1552641	55337012.00
2014/12/09	9.51	9.83	9.10	9.21	2060991	72457296.00
2014/12/10	9.10	9.72	9.09	9.69	840745	29579080.00
2014/12/11	9.58	9.89	9.54	9.79	762901	27335796.00
2014/12/12	9.71	9.93	9.67	9.88	598074	21676458.00
2014/12/15	10.06	10.87	9.94	10.35	2457264	94506984.00
2014/12/16	10.35	11.06	10.18	10.94	2659438	104905936.00
2014/12/17	10.91	10.98	10.50	10.51	1703523	66737604.00
2014/12/18	10.51	11.41	10.24	10.95	2018029	81346960.00
2014/12/19	10.93	11.36	10.59	10.83	1604280	64537564.00
2014/12/22	10.62	10.83	9.73	9.73	1914659	70604320.00
2014/12/23	9.68	10.03	9.33	9.37	1165527	41202256.00
2014/12/24	9.68	9.68	9.39	9.51	1028025	36014928.00
2014/12/25	9.54	9.90	9.47	9.87	826697	29665238.00
2014/12/26	9.82	10.11	9.65	9.92	632691	23033566.00
2014/12/29	9.82	9.92	8.93	8.98	1690384	57909536.00
2014/12/30	9.09	9.12	8.16	8.29	1477796	46510008.00
2014/12/31	8.20	8.48	7.98	8.40	1118838	34042228.00
2015/01/05	8.41	8.42	7.89	8.11	818481	24599998.00
2015/01/06	8.04	8.50	8.04	8.50	957180	29425584.00
2015/01/07	8.56	8.56	8.06	8.27	1037808	31483060.00
2015/01/08	8.11	8.43	8.11	8.33	968557	29982974.00
2015/01/09	8.33	8.53	8.24	8.43	969756	30373576.00
2015/01/12	8.46	9.05	8.37	9.01	1379766	44635840.00
2015/01/13	9.09	9.11	8.79	8.92	696100	23040120.00
2015/01/14	9.01	9.02	8.66	8.70	494900	16034043.00
2015/01/15	8.66	9.07	8.65	8.74	500355	16314628.00
2015/01/16	8.70	8.81	8.57	8.76	633993	20380514.00
2015/01/19	8.59	9.19	8.37	8.65	1349101	43437288.00
2015/01/20	8.61	9.07	8.61	9.03	1127166	37084360.00
2015/01/21	9.04	9.87	9.01	9.80	2295032	80811216.00
2015/01/22	9.64	9.93	9.62	9.81	1006246	36343080.00
2015/02/10	10.32	10.48	9.41	9.82	2722106	99098920.00
2015/02/11	9.68	9.76	9.51	9.70	974023	34685848.00
2015/02/12	9.63	9.73	9.37	9.41	867601	30459982.00
2015/02/13	9.41	9.84	9.41	9.84	1057984	37948268.00
2015/02/16	9.89	9.99	9.73	9.84	999438	36152060.00
2015/02/17	9.94	10.15	9.72	10.10	932472	34076972.00
2015/02/25	10.11	10.43	10.04	10.15	1118847	42201968.00
2015/02/26	10.14	10.18	9.82	9.98	743519	27366188.00
2015/02/27	10.01	10.09	9.85	10.06	561756	20676796.00
2015/03/02	10.07	10.21	9.82	10.00	1076459	39383180.00
2015/03/03	10.09	11.02	10.09	11.02	1714525	67927464.00
2015/03/04	11.71	12.15	11.16	11.58	3598583	154350288.00
2015/03/05	11.39	12.76	11.39	12.76	3953931	177979312.00
2015/03/06	12.88	14.05	12.84	13.34	5011152	247017088.00
2015/03/09	13.09	13.21	12.53	12.77	2596786	122628072.00
2015/03/10	12.74	13.33	12.68	12.77	1909606	90231128.00
2015/03/11	12.77	13.12	12.16	12.98	1840210	85697344.00
2015/03/12	12.90	12.90	12.12	12.26	2045930	92890208.00
2015/03/13	12.19	12.51	12.18	12.22	1219688	55099208.00
2015/03/16	12.28	12.76	12.26	12.61	2235150	102791056.00
2015/03/17	12.71	12.79	12.26	12.41	2341132	107387128.00
2015/03/18	12.41	13.51	12.41	13.28	2919605	139408928.00
