300339 润和软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	2.70	2.83	2.59	2.76	3719153	72826888.00
2013/09/03	2.75	2.89	2.71	2.86	4501952	90239824.00
2013/09/04	2.84	2.85	2.74	2.76	4412590	87287512.00
2013/09/05	2.75	2.91	2.70	2.84	6858570	138004016.00
2013/09/06	2.79	2.83	2.73	2.77	6877860	135621712.00
2013/09/09	2.77	2.80	2.63	2.73	6089507	117395960.00
2013/09/10	2.72	2.77	2.65	2.70	4672113	90391912.00
2013/09/11	2.65	2.70	2.44	2.52	9540436	173487072.00
2013/09/12	2.50	2.62	2.48	2.56	3656948	67582920.00
2013/09/13	2.57	2.63	2.51	2.60	3958197	73756464.00
2013/09/16	2.58	2.68	2.56	2.63	4075433	76846592.00
2013/09/17	2.62	2.64	2.51	2.51	3204802	58969716.00
2013/09/18	2.50	2.57	2.48	2.56	2030103	37162972.00
2013/09/23	2.57	2.66	2.56	2.66	3534195	66679868.00
2013/09/24	2.66	2.74	2.63	2.71	5348758	103511312.00
2013/09/25	2.71	2.71	2.62	2.63	3292506	62404032.00
2013/09/26	2.63	2.65	2.50	2.50	3366251	62496860.00
2013/09/27	2.51	2.58	2.51	2.58	1924237	35452528.00
2013/09/30	2.62	2.71	2.62	2.65	3274936	62453516.00
2013/10/08	2.62	2.92	2.62	2.85	7321685	144962256.00
2013/10/09	2.82	2.97	2.81	2.88	6455164	131986664.00
2013/10/10	2.86	2.98	2.79	2.82	5502565	112412288.00
2013/10/11	2.85	2.93	2.77	2.78	3991210	80227416.00
2013/10/14	2.78	2.93	2.77	2.87	4052601	82141112.00
2013/10/15	2.87	3.04	2.84	2.93	6710739	139748848.00
2013/10/16	2.90	2.92	2.63	2.67	5767147	112023456.00
2013/10/17	2.70	2.72	2.63	2.63	3050105	58251504.00
2013/10/18	2.64	2.92	2.60	2.85	4962512	98206392.00
2013/10/21	2.86	2.98	2.86	2.93	5956292	122955696.00
2013/10/22	2.99	3.08	2.80	2.81	6304784	130659768.00
2013/10/23	2.78	2.83	2.60	2.66	4342677	83102480.00
2013/10/24	2.66	2.79	2.63	2.71	2908080	56504508.00
2013/10/25	2.75	2.76	2.52	2.59	3466536	65106552.00
2013/10/28	2.65	2.75	2.62	2.68	4847272	92879816.00
2013/10/29	2.69	2.83	2.53	2.78	7422536	143780032.00
2013/10/30	2.83	3.07	2.77	3.00	12305329	255029584.00
2013/10/31	2.95	3.00	2.83	2.83	7130969	146295888.00
2013/11/01	2.81	3.12	2.77	3.03	12748887	269617984.00
2013/11/04	2.98	3.24	2.94	3.13	11161200	243977120.00
2013/11/05	3.09	3.22	2.99	3.18	9079331	196074896.00
2013/11/06	3.12	3.15	2.92	2.95	9425694	201786880.00
2013/11/07	2.93	3.05	2.86	2.94	6243832	130251664.00
2013/11/08	2.89	2.93	2.78	2.78	6274560	125762224.00
2013/11/11	2.78	2.85	2.70	2.80	5312405	104677264.00
2013/11/12	2.80	2.86	2.73	2.83	4702169	93607248.00
