300377 赢时胜 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/27	2.09	2.61	2.09	2.61	343495	10517702.00
2014/01/28	2.92	2.92	2.92	2.92	603058	20618554.00
2014/01/29	3.26	3.26	3.17	3.20	4461813	166870640.00
2014/01/30	3.06	3.25	2.85	3.23	6745372	238211696.00
2014/02/07	3.14	3.38	3.06	3.33	4876502	181258896.00
2014/02/10	3.28	3.71	3.28	3.66	6692121	267614576.00
2014/02/11	3.58	3.75	3.44	3.61	5402514	219923808.00
2014/02/12	3.58	4.00	3.58	3.92	5156871	222838608.00
2014/02/13	3.83	3.88	3.54	3.58	3966311	167260560.00
2014/02/14	3.56	3.89	3.56	3.82	3227042	136824464.00
2014/02/17	3.94	4.02	3.75	3.96	4115384	181343472.00
2014/02/18	3.94	4.06	3.83	3.86	3679800	163033376.00
2014/02/19	3.87	3.94	3.64	3.71	2438421	103591320.00
2014/02/20	3.69	3.86	3.55	3.67	2435039	102494896.00
2014/02/21	3.64	3.75	3.60	3.75	1583449	66158408.00
2014/02/24	3.76	3.84	3.72	3.83	1633766	70054776.00
2014/02/25	3.83	4.26	3.78	3.98	6649634	303394976.00
2014/02/26	3.90	3.93	3.53	3.77	4364222	183186768.00
2014/02/27	3.75	3.78	3.34	3.34	3706442	149059776.00
2014/02/28	3.33	3.50	3.26	3.46	2644044	103136024.00
2014/03/03	3.44	3.86	3.42	3.83	3715874	155158208.00
2014/03/04	3.70	3.96	3.58	3.73	3427611	145343632.00
2014/03/05	3.64	3.87	3.60	3.74	2578132	109673352.00
2014/03/06	3.70	4.16	3.54	4.16	4796759	212979952.00
2014/03/07	4.28	4.39	3.91	3.95	4914959	226961584.00
2014/03/10	3.80	3.84	3.64	3.67	2481173	104747424.00
2014/03/11	3.69	4.07	3.64	4.00	3537948	153602976.00
2014/03/12	4.00	4.45	3.81	4.45	5422252	251992912.00
2014/03/13	4.29	4.51	4.18	4.22	3911787	188327872.00
2014/03/14	4.15	4.50	4.07	4.27	4083776	196569872.00
2014/03/17	4.13	4.21	4.03	4.19	2722610	125795056.00
2014/03/18	4.16	4.54	4.10	4.32	3553250	172023280.00
2014/03/19	4.20	4.35	4.10	4.31	2590175	122421232.00
2014/03/20	4.25	4.33	3.94	3.96	2755294	127456376.00
2014/03/21	3.85	4.10	3.80	3.96	1683969	74710496.00
2014/03/24	3.91	3.98	3.61	3.61	2049201	87237792.00
2014/03/25	3.57	3.74	3.57	3.70	943570	39311352.00
2014/03/26	3.68	3.74	3.58	3.61	997838	41611908.00
2014/03/27	3.58	3.64	3.35	3.36	1293669	51320416.00
2014/03/28	3.31	3.53	3.25	3.39	1376789	53524332.00
2014/03/31	3.30	3.39	3.19	3.29	1236787	46661884.00
2014/04/01	3.25	3.43	3.25	3.40	894153	34608752.00
2014/04/02	3.42	3.46	3.20	3.37	1115923	42513188.00
2014/04/03	3.34	3.45	3.28	3.39	1056797	41023736.00
2014/04/04	3.44	3.72	3.39	3.59	1756690	71611824.00
2014/04/08	3.55	3.67	3.52	3.64	1558638	64168464.00
2014/04/09	3.55	3.63	3.47	3.59	1999758	80699240.00
2014/04/10	3.56	3.65	3.47	3.49	1617835	66115412.00
2014/04/11	3.39	3.42	3.26	3.32	1708020	65435080.00
2014/04/14	3.30	3.33	3.20	3.25	920410	34626956.00
2014/04/15	3.25	3.30	3.24	3.26	659226	24831896.00
2014/04/16	3.23	3.25	3.13	3.15	811555	29933540.00
2014/04/17	3.16	3.25	3.13	3.19	727863	26872542.00
2014/04/18	3.19	3.26	3.17	3.23	557301	20698384.00
2014/04/21	3.17	3.33	3.17	3.25	1005878	37968320.00
2014/04/22	3.24	3.34	3.15	3.18	801900	29974374.00
2014/04/23	3.12	3.23	3.12	3.15	489332	17954630.00
2014/04/24	3.15	3.17	3.00	3.02	650812	23226994.00
2014/04/25	2.92	2.99	2.72	2.74	1255104	42313592.00
2014/04/28	2.74	2.74	2.63	2.65	781996	24797052.00
2014/04/29	2.65	2.72	2.65	2.72	409859	13089671.00
2014/04/30	2.73	2.75	2.69	2.72	391569	12589566.00
2014/05/05	2.72	2.79	2.70	2.79	512098	16670589.00
2014/05/06	2.78	3.00	2.75	2.95	1097921	37618484.00
2014/05/07	2.92	3.00	2.86	2.95	1127700	38776752.00
2014/05/08	2.91	2.93	2.84	2.86	649408	21998978.00
2014/05/09	2.83	2.88	2.73	2.73	430603	14178644.00
2014/05/12	2.80	2.84	2.76	2.84	390435	12911198.00
2014/05/13	2.84	2.94	2.81	2.86	383120	12934040.00
2014/05/14	2.86	2.93	2.84	2.91	489792	16603589.00
2014/05/15	2.88	3.00	2.88	2.90	782228	26966776.00
2014/05/16	2.90	2.91	2.74	2.80	586189	19421138.00
2014/05/19	2.77	2.81	2.73	2.79	262868	8613533.00
2014/05/20	2.91	3.12	2.91	3.12	3273430	117833584.00
2014/05/21	3.08	3.22	3.01	3.20	2716111	97514672.00
2014/05/22	3.17	3.17	3.05	3.07	1646148	59564800.00
2014/05/23	3.06	3.29	3.05	3.25	1995388	73482232.00
2014/05/26	3.24	3.29	3.20	3.26	1352713	50814440.00
2014/05/27	3.22	3.30	3.20	3.25	828144	30932482.00
2014/05/28	3.25	3.45	3.22	3.36	1412479	54527960.00
2014/05/29	3.31	3.39	3.30	3.32	1161231	44522596.00
2014/05/30	3.32	3.34	3.25	3.28	922577	34944116.00
2014/06/03	3.27	3.28	3.22	3.27	624018	23389144.00
2014/06/04	3.28	3.65	3.25	3.32	4125724	163845888.00
2014/06/05	3.20	3.24	3.15	3.24	2729423	100723880.00
2014/06/06	3.21	3.33	3.20	3.27	1743574	65442620.00
2014/06/09	3.25	3.27	3.14	3.14	950911	34986316.00
2014/06/10	3.14	3.25	3.09	3.24	1209716	44680956.00
2014/06/11	3.23	3.24	3.17	3.21	781620	28948048.00
2014/06/12	3.22	3.32	3.20	3.26	1224982	46079424.00
2014/06/13	3.26	3.35	3.22	3.31	1302800	49391200.00
2014/06/16	3.31	3.45	3.28	3.41	1615481	62784896.00
2014/06/17	3.40	3.42	3.33	3.35	952603	36757496.00
2014/06/18	3.35	3.41	3.22	3.23	921781	34992172.00
2014/06/19	3.23	3.25	2.89	2.96	1528396	54375544.00
2014/06/20	2.94	3.15	2.94	3.11	913778	32350312.00
2014/06/23	3.11	3.38	3.09	3.30	1835365	69259096.00
2014/06/24	3.30	3.37	3.28	3.34	1292021	49308300.00
2014/06/25	3.32	3.53	3.32	3.43	1926279	75220720.00
2014/06/26	3.47	3.82	3.46	3.74	3461501	144873152.00
2014/06/27	3.76	3.85	3.69	3.70	2685906	113796232.00
2014/06/30	3.69	4.05	3.65	3.76	2846435	123070560.00
2014/07/01	3.77	3.90	3.70	3.87	2063828	88432520.00
2014/07/02	3.82	3.90	3.61	3.80	2616731	110816816.00
2014/07/03	3.74	3.80	3.66	3.67	1390451	58378364.00
2014/07/04	4.09	4.09	4.09	4.09	724759	33099744.00
2014/07/07	4.32	4.46	4.16	4.29	4688517	224675024.00
2014/07/08	4.29	4.44	4.17	4.31	3115854	148900288.00
2014/07/09	4.31	4.36	4.07	4.07	2560173	120120432.00
2014/07/10	4.08	4.25	4.06	4.12	1953844	90578352.00
2014/07/11	4.06	4.18	4.04	4.09	1136338	52073324.00
2014/07/14	4.10	4.15	4.06	4.14	815809	37484128.00
2014/07/15	4.14	4.14	3.87	3.91	1426227	63266740.00
2014/07/16	3.90	3.94	3.77	3.84	878206	37958972.00
2014/07/17	3.83	3.91	3.79	3.87	648093	28058022.00
2014/07/18	3.86	3.87	3.78	3.79	505906	21825990.00
2014/07/21	3.76	3.85	3.70	3.81	631525	26871936.00
2014/07/22	3.79	3.91	3.79	3.87	524954	22858620.00
2014/07/23	3.90	3.90	3.64	3.71	792191	33678220.00
2014/07/24	3.69	3.84	3.67	3.75	710192	30055632.00
2014/07/25	3.73	3.83	3.70	3.78	543000	23059288.00
