300395 菲利华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/09/10	4.93	5.44	4.93	5.44	26000	716046.00
2014/09/11	6.05	6.05	6.05	6.05	8200	248542.00
2014/09/12	6.73	6.73	6.73	6.73	9050	301727.00
2014/09/15	7.47	7.47	7.47	7.47	36590	1341755.25
2014/09/16	8.28	8.28	8.28	8.28	244011	9843404.00
2014/09/17	9.18	9.18	9.18	9.18	494282	21931292.00
2014/09/18	10.16	10.16	9.82	10.16	6294832	305912224.00
2014/09/19	10.32	10.75	10.15	10.16	9607479	479913440.00
2014/09/22	9.76	9.85	9.47	9.48	5116410	237512448.00
2014/09/23	9.49	9.72	9.45	9.71	3823808	176724432.00
2014/09/24	9.72	10.36	9.72	10.16	4264540	207258464.00
2014/09/25	10.09	10.43	9.96	9.96	3456066	168754928.00
2014/09/26	9.85	10.14	9.76	9.90	2061144	98742328.00
2014/09/29	9.88	10.27	9.88	10.19	2513768	122061576.00
2014/09/30	10.23	11.27	10.06	11.27	5353369	275558784.00
2014/10/08	11.43	12.05	11.23	11.89	5308370	293933664.00
2014/10/09	11.76	12.07	11.63	11.74	2677402	150430944.00
2014/10/10	11.63	12.16	11.54	11.76	2784278	156936736.00
2014/10/13	11.68	11.85	11.09	11.47	2593238	140530128.00
2014/10/14	11.25	11.43	10.87	10.96	2999520	159460240.00
2014/10/15	10.96	11.23	10.88	11.10	1879613	99679712.00
2014/10/16	10.97	11.13	10.83	10.83	2137862	111794496.00
2014/10/17	10.76	11.39	10.70	11.29	2522309	133563920.00
2014/10/20	11.22	11.22	10.99	11.03	1472325	77856296.00
2014/10/21	10.92	11.63	10.92	11.45	2098711	113062832.00
2014/10/22	11.36	12.01	11.32	11.45	2709558	150743088.00
2014/10/23	11.46	12.20	11.46	12.02	2956306	167229584.00
2014/10/24	11.93	12.13	11.65	11.69	2042745	115684688.00
2014/10/27	11.32	11.46	10.83	10.83	1936028	102491272.00
2014/10/28	11.00	11.37	10.96	11.29	1266693	67611832.00
2014/10/29	11.31	12.26	11.31	12.17	2868628	160963344.00
2014/10/30	12.07	12.39	11.96	12.25	2157488	124935360.00
2014/10/31	12.18	13.43	12.03	12.96	2673986	161663232.00
2014/11/03	12.89	13.32	12.76	13.32	1889969	117210360.00
2014/11/04	13.29	13.29	12.70	12.73	1797145	110330520.00
2014/11/05	12.65	13.30	12.45	12.95	1706709	103956536.00
2014/11/06	12.74	13.83	12.67	13.65	2154870	135508656.00
2014/11/07	13.65	14.57	13.51	13.75	2828689	187280144.00
2014/11/10	13.69	15.12	13.62	14.78	3024749	205918112.00
2014/11/11	14.65	15.21	14.21	14.98	2680171	184475392.00
2014/11/12	14.76	15.86	14.43	15.56	2643155	188666016.00
2014/11/13	15.09	15.32	14.76	14.78	2360598	166490576.00
2014/11/14	14.64	14.64	13.24	13.24	2885859	186524464.00
2014/11/17	13.26	13.91	12.96	13.51	1464719	93965312.00
2014/11/18	13.51	14.78	13.47	14.78	1871357	125237544.00
2014/11/19	14.73	15.25	14.49	14.97	1825694	127976120.00
2014/11/20	14.66	14.89	14.50	14.66	1554172	107603056.00
2014/11/21	14.51	16.09	14.49	15.29	2363288	169432992.00
2014/11/24	15.47	15.53	14.93	15.13	1812381	129582240.00
2014/11/25	15.16	15.22	14.06	14.45	2358206	161226640.00
2014/11/26	14.38	15.05	14.34	14.72	1322050	91925536.00
2014/11/27	14.98	15.37	14.72	14.89	1560791	110536304.00
2014/11/28	15.07	15.07	14.56	14.67	1458039	101137432.00
2014/12/01	14.67	15.20	14.09	14.68	2527720	173112768.00
2014/12/02	14.62	15.43	14.61	15.26	2405793	171313104.00
2014/12/03	15.17	15.38	14.60	15.05	1916719	133950760.00
2014/12/04	14.99	15.32	14.81	14.86	1619013	114392272.00
2014/12/05	14.83	14.83	14.16	14.16	2109675	142534368.00
2014/12/08	13.98	14.15	13.51	13.65	1847041	119824376.00
2014/12/09	13.60	13.63	12.25	12.25	2124949	129488664.00
2014/12/10	12.36	12.90	12.26	12.54	1357031	81140320.00
2014/12/11	12.43	12.85	12.31	12.76	1075222	64390356.00
2014/12/12	12.65	12.87	12.61	12.84	675479	40827024.00
2014/12/15	12.78	13.42	12.61	13.23	1217114	76082712.00
2014/12/16	13.11	13.49	12.80	12.95	1028645	63490972.00
2014/12/17	12.87	12.87	12.25	12.38	1187081	70428784.00
2014/12/18	12.32	12.56	11.74	11.74	1201266	69224624.00
2014/12/19	11.64	11.84	11.09	11.36	1160029	62766424.00
2014/12/22	11.36	11.36	10.43	10.48	1010691	51642696.00
2014/12/23	10.52	11.17	10.52	10.91	909322	47522948.00
2014/12/24	11.05	12.06	11.05	11.85	1433244	79443528.00
2014/12/25	11.94	12.12	11.32	11.78	1301856	72569320.00
2014/12/26	11.65	12.28	11.65	11.93	994897	56769264.00
2014/12/29	11.69	11.72	11.06	11.51	1089829	59108376.00
2014/12/30	11.38	11.61	11.01	11.14	915696	48983860.00
2014/12/31	11.25	11.43	10.83	11.27	825113	44178832.00
2015/01/05	11.10	11.29	10.31	10.65	957805	48870888.00
2015/01/06	10.54	11.08	10.45	11.06	1237184	64275728.00
2015/01/07	11.01	11.01	10.60	10.75	782376	40259560.00
2015/01/08	10.67	10.96	10.62	10.72	885886	45702744.00
2015/01/09	10.60	10.91	10.52	10.58	820167	42052836.00
2015/01/12	10.52	10.52	10.18	10.29	668116	33020648.00
2015/01/13	10.32	10.73	10.18	10.68	821192	41532912.00
2015/01/14	10.67	11.01	10.47	10.83	900495	46283676.00
2015/01/15	10.78	10.98	10.63	10.70	763411	39372224.00
2015/01/16	10.70	11.04	10.62	11.04	867233	45087916.00
2015/01/19	10.83	11.87	10.76	11.36	1520045	82413320.00
2015/01/20	11.21	11.87	11.14	11.82	1848504	101552512.00
2015/01/21	11.76	11.91	11.61	11.74	1108091	61870280.00
2015/01/22	11.71	12.12	11.65	12.03	947968	53829860.00
2015/01/23	12.07	12.16	11.55	11.59	1101596	61729084.00
2015/01/26	11.57	11.81	11.57	11.64	821554	45623724.00
2015/01/27	11.55	11.71	11.34	11.46	760388	41863572.00
2015/01/28	11.43	11.66	11.24	11.58	846218	46218276.00
2015/01/29	11.52	11.62	11.29	11.31	502263	27327400.00
2015/01/30	11.27	11.38	10.87	10.92	504101	26824730.00
2015/02/02	10.82	11.06	10.65	10.91	341812	17861464.00
2015/02/03	10.97	11.43	10.95	11.23	663194	35467356.00
2015/02/04	11.27	11.36	11.05	11.07	551667	29369318.00
2015/02/05	11.19	11.38	11.03	11.06	629372	33628360.00
2015/02/06	11.04	11.15	10.52	10.58	721526	36904992.00
2015/02/09	10.54	10.58	10.32	10.34	471539	23576954.00
2015/02/10	10.38	10.71	10.26	10.71	501104	25254908.00
2015/02/11	10.74	10.80	10.61	10.74	365626	18758038.00
2015/02/12	11.32	11.85	11.21	11.81	2687466	148385936.00
2015/02/13	11.64	11.98	11.61	11.81	1687453	94698280.00
2015/02/16	11.81	12.67	11.81	12.42	1542596	90707608.00
2015/02/17	12.28	12.47	12.04	12.30	1052055	61216436.00
2015/02/25	12.29	12.29	11.62	11.72	1038114	58440892.00
2015/02/26	11.70	11.91	11.62	11.77	635768	35590168.00
2015/02/27	11.73	12.05	11.73	11.92	679533	38499488.00
2015/03/02	12.05	12.23	11.87	12.23	901579	51676108.00
2015/03/03	12.18	12.18	11.77	11.80	860833	48977352.00
2015/03/04	11.80	12.09	11.80	12.00	737846	41971408.00
2015/03/05	12.00	12.56	11.90	12.42	1664743	96832000.00
2015/03/06	12.42	12.47	12.13	12.26	1010191	58748580.00
2015/03/09	12.27	12.71	12.15	12.69	1312381	78067096.00
2015/03/10	12.73	12.87	12.46	12.58	946668	56663336.00
2015/03/11	12.54	12.61	12.33	12.47	702449	41449752.00
2015/03/12	12.47	12.49	12.03	12.21	862894	50233148.00
2015/03/13	12.28	12.87	12.24	12.81	900736	53805688.00
2015/03/16	12.89	13.40	12.76	13.27	1447145	89318824.00
2015/03/17	13.28	13.49	12.90	13.20	1284402	80022544.00
2015/03/18	13.14	14.09	13.01	13.76	1245776	80698720.00
2015/03/19	13.72	13.91	13.32	13.63	1035351	66411644.00
2015/03/20	13.53	14.01	13.50	13.80	1128645	73230368.00
2015/03/23	13.98	14.60	13.82	14.45	1358617	92065944.00
2015/03/24	14.45	14.54	13.43	14.09	1748395	115565376.00
2015/03/25	13.99	14.76	13.73	14.76	2193966	147955760.00
2015/03/26	14.43	14.68	13.89	14.11	1556427	104914272.00
2015/03/27	13.96	14.19	13.81	13.96	895991	59142664.00
2015/03/30	13.99	14.12	13.47	13.52	1110636	71771136.00
2015/03/31	13.55	13.82	13.49	13.67	733731	47445644.00
2015/04/01	13.67	14.16	13.60	14.07	1078842	70887248.00
2015/04/02	14.05	14.82	14.05	14.72	1912275	131049416.00
2015/04/03	14.69	15.39	14.54	15.32	1655819	117360376.00
2015/04/07	15.54	16.76	15.53	16.55	2029741	152409040.00
2015/04/08	16.43	16.56	15.32	15.88	2004467	149094384.00
2015/04/09	15.88	16.05	14.65	15.96	2194743	159028032.00
