300433 蓝思科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/18	4.69	5.71	4.69	5.71	56200	1847168.00
2015/03/19	6.33	6.33	6.33	6.33	13100	477102.00
2015/03/20	7.00	7.00	7.00	7.00	10800	432648.00
2015/03/23	7.74	7.74	7.74	7.74	18900	832923.00
2015/03/24	8.56	8.56	8.56	8.56	29400	1425312.00
2015/03/25	9.46	9.46	9.46	9.46	44500	2373185.00
2015/03/26	10.44	10.44	10.44	10.44	127056	7453105.00
2015/03/27	11.53	11.53	11.53	11.53	269800	17410194.00
2015/03/30	12.73	12.73	12.73	12.73	462900	32856642.00
2015/03/31	14.04	14.04	14.04	14.04	488199	38118576.00
2015/04/01	15.49	15.49	15.49	15.49	1085271	93213928.00
2015/04/02	17.08	17.08	17.08	17.08	1107247	104612696.00
2015/04/03	18.83	18.83	18.10	18.83	26992043	2783676160.00
2015/04/07	18.84	19.74	18.10	19.30	26596659	2799209984.00
2015/04/08	18.62	19.11	18.12	18.75	14873259	1527880320.00
2015/04/09	18.66	20.67	17.91	20.67	22852743	2462877184.00
2015/04/10	20.32	21.58	19.97	20.38	14431584	1647862528.00
2015/04/13	19.79	20.14	19.21	19.38	12014306	1293283840.00
2015/04/14	19.40	20.30	18.80	19.21	11305017	1226913792.00
2015/04/15	18.66	18.81	17.71	17.71	10856182	1087017344.00
2015/04/16	17.32	18.08	17.18	17.49	6554444	638877248.00
2015/04/17	17.77	18.05	17.64	17.70	5759567	568472128.00
2015/04/20	17.54	17.54	17.06	17.08	7738943	739357184.00
2015/04/21	17.08	18.45	17.07	18.14	7787108	767840768.00
2015/04/22	18.15	18.61	17.98	18.29	7632746	769602176.00
2015/04/23	18.45	18.74	18.10	18.24	6000725	609020032.00
2015/04/24	17.73	20.07	17.55	19.79	13251043	1392050944.00
2015/04/27	19.95	19.95	18.77	18.90	10327093	1094712832.00
2015/04/28	18.75	18.90	17.56	17.99	7996735	800466496.00
2015/04/29	17.82	18.62	17.82	18.35	4796865	485525920.00
2015/04/30	18.16	19.07	18.10	18.43	7115793	733103744.00
2015/05/04	18.29	18.38	17.81	18.10	4356454	434424960.00
2015/05/05	18.10	19.12	17.99	18.36	7641047	788046528.00
2015/05/06	18.80	19.17	18.30	18.49	8113510	842784384.00
2015/05/07	18.10	19.25	17.75	18.89	8050159	835824640.00
2015/05/08	19.14	20.82	18.66	20.82	13662708	1490943616.00
2015/05/11	21.43	22.94	21.19	22.94	7090144	859593984.00
2015/05/12	25.12	25.28	23.38	24.12	16652989	2230848768.00
2015/05/13	22.73	26.10	22.36	25.18	13881418	1830003968.00
