300458 全志科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/15	7.05	8.57	7.05	8.57	8300	149854.00
2015/05/18	9.49	9.49	9.49	9.49	2000	40320.00
2015/05/19	10.50	10.50	10.50	10.50	2000	44360.00
2015/05/20	11.60	11.60	11.60	11.60	2700	65880.00
2015/05/21	12.82	12.82	12.82	12.82	4200	112728.00
2015/05/22	14.16	14.16	14.16	14.16	5300	156456.00
2015/05/25	15.63	15.63	15.63	15.63	3500	113645.00
2015/05/26	17.25	17.25	17.25	17.25	3700	132164.00
2015/05/27	19.04	19.04	19.04	19.04	4500	176805.00
2015/05/28	21.00	21.00	21.00	21.00	20400	881688.00
2015/05/29	23.15	23.15	23.15	23.15	31000	1473740.00
2015/06/01	25.52	25.52	25.52	25.52	9200	481068.00
2015/06/02	28.13	28.13	28.13	28.13	11200	644224.00
2015/06/03	31.00	31.00	31.00	31.00	29400	1860138.00
2015/06/04	34.16	34.16	34.16	34.16	113000	7864800.00
2015/06/05	37.64	37.64	37.64	37.64	44600	3414576.00
2015/06/08	41.46	41.46	41.46	41.46	135400	11403388.00
2015/06/09	45.66	45.66	45.66	45.66	2143124	198539008.00
2015/06/10	50.29	50.29	50.29	50.29	2728286	278012352.00
2015/06/11	55.37	55.37	55.37	55.37	126900	14224221.00
2015/06/12	60.97	60.97	60.97	60.97	91889	11329914.00
2015/06/15	67.12	67.12	57.29	61.57	22494875	2876144384.00
2015/06/16	55.44	59.32	55.35	55.35	13272085	1504903296.00
2015/06/17	55.35	55.78	50.20	53.33	8353482	893167936.00
2015/06/18	52.68	52.68	47.94	47.94	6491545	661826496.00
2015/06/19	44.68	49.78	43.09	43.09	5943939	551666624.00
2015/06/23	44.34	46.58	42.07	45.35	5051569	456623552.00
2015/06/24	45.84	45.84	41.24	42.85	5214261	463536736.00
2015/06/25	43.82	47.19	42.90	44.35	5149760	477774336.00
2015/06/26	42.29	42.85	39.85	39.85	4352200	355821504.00
2015/06/29	38.36	38.36	35.81	35.81	4573537	335251008.00
2015/06/30	33.32	38.58	32.17	37.10	8220947	580142656.00
2015/07/01	36.36	40.87	35.89	38.86	11322106	919620224.00
2015/07/02	39.36	40.84	35.61	35.72	6520521	504791680.00
2015/07/03	33.37	38.91	32.09	34.63	7038646	500697024.00
2015/07/06	38.15	38.15	31.82	34.23	6214603	452209664.00
2015/07/07	32.87	32.87	30.76	30.76	2124149	134552720.00
2015/07/08	27.62	28.10	27.62	27.62	11147056	629730304.00
2015/07/09	25.03	30.44	25.03	30.44	3663057	218614944.00
2015/07/10	31.87	33.54	30.82	33.54	1832500	122415200.00
2015/07/13	35.31	36.95	34.87	36.95	4430914	329149504.00
2015/07/14	36.95	40.71	35.86	39.21	6823380	546034304.00
2015/07/15	37.36	37.86	35.23	35.23	2912685	213055200.00
2015/07/16	31.67	36.71	31.65	33.67	4557246	313389568.00
2015/07/17	34.07	37.02	32.67	36.06	3710452	264647872.00
2015/07/20	35.74	39.32	34.79	38.80	4104202	305996128.00
2015/07/21	37.76	41.45	36.86	41.08	3824079	305862176.00
