300470 中密控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/12	10.91	13.21	10.91	13.21	4100	187682.00
2015/06/15	14.59	14.59	14.59	14.59	1100	60280.00
2015/06/16	16.12	16.12	16.12	16.12	2700	162756.00
2015/06/17	17.79	17.79	17.79	17.79	8800	583528.00
2015/06/18	19.63	19.63	19.63	19.63	6400	466816.00
2015/06/19	21.66	21.66	21.66	21.66	48780	3913619.50
2015/06/23	23.89	23.89	23.89	23.89	22700	2003275.00
2015/06/24	26.34	26.34	26.34	26.34	6200	601896.00
2015/06/25	29.04	29.04	29.04	29.04	40959	4374011.50
2015/06/26	32.00	32.00	26.32	32.00	8096583	883694464.00
2015/06/29	28.74	29.65	28.74	28.74	844500	89796504.00
2015/06/30	25.80	27.84	25.80	25.80	4722351	455592480.00
2015/07/01	26.59	28.43	25.80	26.26	3707315	371797568.00
2015/07/02	23.59	25.21	23.57	23.57	2410024	214234832.00
2015/07/03	21.87	24.04	21.16	21.16	1950025	157927856.00
2015/07/06	23.33	23.33	18.98	19.26	2521082	194504320.00
2015/07/07	18.40	18.54	17.27	17.27	952073	62334048.00
2015/07/08	15.48	16.69	15.48	15.48	2803790	166085168.00
2015/07/09	15.48	17.09	15.48	17.09	1468309	92101080.00
2015/07/10	18.87	18.87	18.87	18.87	109809	7706395.50
2015/07/13	20.82	20.82	20.82	20.82	54901	4238357.00
2015/07/14	22.96	22.96	22.19	22.96	2845356	241501584.00
2015/07/15	21.87	23.04	20.60	20.60	2715760	213745440.00
2015/07/16	19.06	21.82	18.87	20.95	2154074	165744992.00
2015/07/17	20.88	22.67	20.52	22.16	2459066	195948144.00
2015/07/20	21.87	22.59	21.32	21.73	1946947	158251104.00
2015/07/21	21.32	22.66	21.04	22.39	1415310	115521264.00
2015/07/22	22.12	22.71	21.73	22.40	1371314	113319424.00
2015/07/23	22.43	24.70	21.93	24.70	2262449	197650832.00
2015/07/24	25.09	26.32	23.54	23.92	3300597	306450112.00
2015/07/27	22.98	24.62	21.47	21.47	1859185	158539360.00
2015/07/28	20.21	21.73	19.26	19.99	2059111	153612880.00
2015/07/29	20.70	22.05	19.15	22.05	1852572	140941344.00
2015/07/30	21.50	23.69	21.17	21.41	2145729	177382192.00
2015/07/31	20.89	22.83	20.37	22.12	2036699	162535840.00
