300584 海辰药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/12	8.32	10.10	8.32	10.10	9100	144663.00
2017/01/13	11.17	11.17	11.17	11.17	2900	51040.00
2017/01/16	12.34	12.34	12.34	12.34	4600	89056.00
2017/01/17	13.63	13.63	13.63	13.63	7000	149100.00
2017/01/18	15.05	15.05	15.05	15.05	3100	72633.00
2017/01/19	16.61	16.61	16.61	16.61	31016	799282.31
2017/01/20	18.33	18.33	18.33	18.33	43470	1232374.50
2017/01/23	20.23	20.23	20.23	20.23	28300	882677.00
2017/01/24	22.31	22.31	22.31	22.31	36500	1252315.00
2017/01/25	24.59	24.59	24.59	24.59	53400	2015316.00
2017/01/26	27.11	27.11	27.11	27.11	211783	8791112.00
2017/02/03	27.37	28.90	26.91	27.74	10961741	469379104.00
2017/02/06	27.97	29.61	27.74	29.51	9355907	411212096.00
2017/02/07	29.11	29.12	28.32	28.69	6856908	301125344.00
2017/02/08	28.73	30.10	28.73	29.76	7016652	315756736.00
2017/02/09	29.45	30.43	29.11	29.34	5618966	254591584.00
2017/02/10	29.47	29.65	28.27	28.35	4495308	198331600.00
2017/02/13	28.16	29.79	28.16	29.59	4958329	220991104.00
2017/02/14	29.47	30.09	29.38	29.75	4477299	203087952.00
2017/02/15	29.75	32.03	29.64	30.26	7266686	340863456.00
2017/02/16	30.01	30.25	29.18	29.99	4500968	205079888.00
2017/02/17	29.90	30.75	29.43	30.18	3961550	182654304.00
2017/02/20	30.17	30.17	27.77	28.69	3394720	149154192.00
2017/02/21	28.53	29.36	28.45	29.13	2171927	96354024.00
2017/02/22	29.10	29.35	28.64	29.03	1957461	86790048.00
2017/02/23	29.09	30.23	28.93	30.07	3231042	146507968.00
2017/02/24	29.80	32.59	29.80	31.93	5366115	258852752.00
2017/02/27	31.43	31.96	31.13	31.57	3583677	172244832.00
2017/02/28	31.33	31.43	30.27	31.10	3229571	151661936.00
2017/03/01	31.13	31.40	30.45	30.45	2502359	117866944.00
2017/03/02	30.41	31.07	30.32	30.56	1861488	87028776.00
2017/03/03	30.43	30.57	29.93	30.56	1598057	73965288.00
2017/03/06	30.63	31.48	30.43	31.32	2146070	102071856.00
2017/03/07	31.30	31.67	30.84	31.66	2277349	108987488.00
2017/03/08	31.69	31.71	31.07	31.47	2073585	99437256.00
2017/03/09	31.50	31.50	30.49	30.77	2371500	111674344.00
2017/03/10	30.75	31.08	30.45	30.83	1683777	79128440.00
2017/03/13	30.87	32.00	30.51	31.93	3366523	161624208.00
2017/03/14	31.94	32.67	31.50	31.58	3877458	189832592.00
2017/03/15	31.43	32.09	31.17	32.09	2413107	116931432.00
2017/03/16	32.37	33.97	32.23	33.53	3904410	197266960.00
2017/03/17	33.27	34.09	32.24	32.40	3681731	186528096.00
2017/03/20	32.40	33.50	32.24	33.42	2546900	127145120.00
2017/03/21	33.28	34.41	32.80	33.83	3045710	157012272.00
2017/03/22	33.55	35.09	33.30	34.75	3017435	157320800.00
2017/03/23	34.84	35.09	32.75	33.89	3336684	173692304.00
2017/03/24	33.83	35.61	33.71	35.47	3566940	189554080.00
2017/03/27	35.62	36.34	34.11	36.17	3187202	172877216.00
2017/03/28	35.94	36.47	35.23	36.10	2789858	152921712.00
2017/03/29	35.85	36.10	33.63	34.49	3134291	165715360.00
2017/03/30	34.22	34.65	32.49	32.97	3435525	173921600.00
2017/03/31	32.77	33.43	30.17	30.83	3931173	189952704.00
2017/04/05	30.77	31.56	30.32	31.37	2804480	132107368.00
2017/04/06	31.37	32.16	30.17	31.50	2101011	101213776.00
2017/04/07	31.49	31.56	30.35	30.45	1621440	76450992.00
2017/04/10	30.19	30.34	27.43	27.46	2498166	109395560.00
2017/04/11	27.46	28.71	27.33	28.55	1747163	75075952.00
