300628 亿联网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/17	12.08	14.74	12.08	14.74	5300	669256.00
2017/03/20	16.33	16.33	16.33	16.33	2000	280900.00
2017/03/21	18.09	18.09	18.09	18.09	1300	200850.00
2017/03/22	20.02	20.02	20.02	20.02	700	118965.00
2017/03/23	22.14	22.14	22.14	22.14	1900	355205.00
2017/03/24	24.48	24.48	24.48	24.48	6900	1418985.00
2017/03/27	27.05	27.05	27.05	27.05	6900	1560918.00
2017/03/28	29.88	29.88	29.88	29.88	5500	1368620.00
2017/03/29	32.99	32.99	32.99	32.99	8900	2436108.00
2017/03/30	36.41	36.41	36.41	36.41	143050	43070924.00
2017/03/31	40.18	40.18	40.18	40.18	300910	99661392.00
2017/04/05	44.32	44.32	40.57	42.10	9932831	3488990720.00
2017/04/06	42.90	46.03	42.28	43.65	5199925	1883940864.00
2017/04/07	42.97	44.53	42.03	42.15	3589324	1268593280.00
2017/04/10	41.15	41.15	38.77	38.83	3585652	1183636224.00
2017/04/11	38.29	39.37	37.11	38.20	3734659	1177319040.00
2017/04/12	37.40	38.03	36.07	36.40	3396381	1035687488.00
2017/04/13	36.59	38.34	36.59	36.99	2320626	719618496.00
2017/04/14	36.43	38.53	35.86	37.65	1954212	606406208.00
2017/04/17	36.28	38.14	35.65	36.53	1863000	568682688.00
2017/04/18	36.28	37.78	36.28	36.90	1296684	398386528.00
2017/04/19	36.86	40.66	36.86	39.25	2315785	742286528.00
2017/04/20	39.26	40.44	38.44	39.80	1985420	645382464.00
2017/04/21	39.39	39.69	38.65	38.75	1028402	330725760.00
2017/04/24	38.54	38.75	36.53	37.77	1372785	427281216.00
2017/04/25	37.89	40.81	37.28	40.04	1982732	646374848.00
2017/04/26	39.78	40.52	38.65	39.28	1708663	557699008.00
2017/04/27	39.78	43.33	39.44	43.33	3340151	1135545344.00
2017/04/28	42.76	43.77	42.46	43.09	1648974	584785280.00
2017/05/02	43.11	43.63	41.53	41.81	1439931	500594240.00
2017/05/03	41.64	42.34	37.50	39.02	3962356	1279700480.00
2017/05/04	38.15	38.96	37.34	37.75	1596621	501997696.00
2017/05/05	37.40	38.46	37.28	37.54	1013976	317586272.00
2017/05/08	37.36	38.37	37.28	37.29	987714	308490304.00
2017/05/09	36.90	38.17	36.65	38.12	1042650	323053728.00
2017/05/10	38.14	39.10	37.04	37.15	1288397	407307360.00
2017/05/11	37.03	39.72	36.90	39.28	1933119	617583424.00
2017/05/12	39.15	39.37	37.48	38.05	1526387	479694208.00
