300653 正海生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/16	14.37	15.78	14.37	15.78	3500	58375.00
2017/05/17	17.47	17.47	17.47	17.47	1500	27855.00
2017/05/18	19.33	19.33	19.33	19.33	1516	30971.88
2017/05/19	21.37	21.37	21.37	21.37	1100	24717.00
2017/05/22	23.62	23.62	23.62	23.62	5400	133488.00
2017/05/23	26.09	26.09	26.09	26.09	12538	340908.22
2017/05/24	28.81	28.81	28.81	28.81	21500	643065.00
2017/05/25	31.80	31.80	31.80	31.80	25200	829080.00
2017/05/26	35.09	35.09	35.09	35.09	73500	2659965.00
2017/05/31	38.71	38.71	38.71	38.71	105700	4207917.00
2017/06/01	42.69	42.69	42.69	42.69	2217872	97120616.00
2017/06/02	41.70	43.39	38.80	40.70	11112478	467731264.00
2017/06/05	43.29	44.88	40.78	41.10	8925025	398851744.00
2017/06/06	41.77	43.43	39.79	41.99	10247318	438933856.00
2017/06/07	40.70	46.30	40.36	46.30	10134405	450240928.00
2017/06/08	45.10	45.40	41.56	41.73	11920271	524434624.00
2017/06/09	40.60	42.09	40.29	41.08	5663234	238558960.00
2017/06/12	39.90	40.89	36.86	36.93	5890929	235148768.00
2017/06/13	36.30	37.95	36.30	37.28	3880742	148998608.00
2017/06/14	37.15	37.36	35.32	35.60	4647743	172598576.00
2017/06/15	35.46	36.88	35.45	36.53	3616531	135907024.00
2017/06/16	36.58	38.00	35.71	37.01	4036710	153421408.00
2017/06/19	36.70	37.27	36.55	37.02	2367196	89872360.00
2017/06/20	37.67	37.87	36.61	36.79	2926285	112186424.00
2017/06/21	36.35	36.55	35.40	35.97	2437992	90305752.00
2017/06/22	35.90	36.18	35.20	35.21	2419647	89010528.00
2017/06/23	35.08	35.35	33.18	34.10	3107979	109990176.00
2017/06/26	33.90	34.60	33.48	34.48	1418000	49814584.00
2017/06/27	34.34	35.40	34.20	34.46	1403417	50303876.00
2017/06/28	34.34	34.34	33.11	33.22	1729670	60074284.00
2017/06/29	33.28	34.55	33.26	33.86	1404000	49372344.00
2017/06/30	34.00	34.99	33.30	34.40	2002900	71010304.00
2017/07/03	34.40	35.40	34.39	34.90	2086849	75261288.00
2017/07/04	34.61	35.10	34.50	35.00	1445047	51813828.00
2017/07/05	35.00	36.35	34.80	36.14	3247825	120149296.00
2017/07/06	35.80	36.38	35.42	36.29	2478644	91815856.00
2017/07/07	36.35	37.30	36.21	36.54	2676667	101401048.00
2017/07/10	35.55	35.84	34.28	34.45	2488558	89794008.00
2017/07/11	34.44	34.88	33.96	33.99	993231	35325124.00
2017/07/12	33.89	34.70	33.60	34.69	929800	32725894.00
2017/07/13	34.48	34.69	33.78	33.93	892665	31415138.00
2017/07/14	33.95	34.33	33.34	33.70	855105	29881200.00
2017/07/17	32.80	32.80	30.22	30.22	2253940	72053936.00
2017/07/18	29.42	30.09	28.89	29.80	1286881	39364156.00
2017/07/19	28.91	29.60	28.73	29.26	1315531	39834044.00
2017/07/20	29.25	29.88	29.20	29.24	1064000	32590316.00
2017/07/21	28.91	29.39	28.80	28.88	930256	27977386.00
2017/07/24	28.58	29.70	28.06	29.49	947307	28499794.00
2017/07/25	29.44	29.72	29.00	29.32	627649	19142892.00
2017/07/26	29.31	29.75	28.91	29.10	534583	16256173.00
2017/07/27	29.26	30.73	28.95	30.59	1543291	48224960.00
