300659 中孚信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/26	9.38	11.31	9.38	11.31	3907	68121.50
2017/05/31	12.46	12.46	12.46	12.46	3759	76495.65
2017/06/01	13.74	13.74	13.74	13.74	4052	90724.28
2017/06/02	15.14	15.14	15.14	15.14	4583	112879.29
2017/06/05	16.68	16.68	16.68	16.68	12296	333098.63
2017/06/06	18.37	18.37	18.37	18.37	10700	318860.00
2017/06/07	20.23	20.23	20.23	20.23	36607	1199977.50
2017/06/08	22.28	22.28	22.28	22.28	33883	1221821.00
2017/06/09	24.54	24.54	24.54	24.54	130874	5191771.50
2017/06/12	24.74	26.18	24.13	24.96	11909053	488660608.00
2017/06/13	23.69	25.99	23.18	25.19	9460251	370093632.00
2017/06/14	24.34	24.43	22.65	22.65	7381467	277806432.00
2017/06/15	22.68	23.98	22.68	23.04	5961333	224763264.00
2017/06/16	23.05	23.90	22.48	23.82	6393622	241391184.00
2017/06/19	23.59	23.78	22.89	23.45	4330944	163289456.00
2017/06/20	23.44	25.82	23.31	24.36	8340309	333297984.00
2017/06/21	23.66	23.91	22.99	23.58	5587832	211600944.00
2017/06/22	23.40	23.89	22.48	22.49	4894587	182861040.00
2017/06/23	22.28	22.61	20.86	21.49	4819184	169536672.00
2017/06/26	21.39	21.74	21.06	21.62	2119612	73716072.00
2017/06/27	21.62	22.14	21.42	21.44	2430323	85620192.00
2017/06/28	21.59	21.93	21.31	21.54	2447290	85683624.00
2017/06/29	21.68	21.72	21.23	21.32	2297073	79607016.00
2017/06/30	21.09	22.11	20.79	21.63	3288709	114439040.00
2017/07/03	21.49	22.53	21.37	22.31	2956029	105693608.00
2017/07/04	22.18	22.54	22.06	22.49	2632731	94944992.00
2017/07/05	22.62	24.74	22.62	24.19	7080266	272189088.00
2017/07/06	23.88	25.04	23.59	24.93	5716167	223010096.00
2017/07/07	25.06	25.73	24.20	24.73	4979987	200631648.00
2017/07/10	24.21	24.37	22.23	22.32	5524631	206763600.00
2017/07/11	22.34	22.53	21.71	21.73	2880309	102946664.00
2017/07/12	21.68	22.43	21.35	22.38	3147163	111373072.00
2017/07/13	22.18	22.18	21.21	21.44	2637814	92221232.00
2017/07/14	21.29	21.76	20.94	21.15	2111609	73003904.00
2017/07/17	20.78	20.78	19.01	19.01	2829735	89447520.00
2017/07/18	18.37	19.29	18.13	18.84	2287992	69341648.00
2017/07/19	18.84	18.93	18.32	18.71	1734883	52337864.00
2017/07/20	18.61	19.28	18.38	18.38	1994000	60894608.00
2017/07/21	18.24	18.62	17.94	17.94	1519212	45035440.00
2017/07/24	17.86	18.83	17.76	18.57	1684053	49997612.00
2017/07/25	18.39	18.99	18.37	18.65	1578170	48008292.00
2017/07/26	18.66	19.08	18.31	18.57	1430323	43383048.00
2017/07/27	18.60	19.86	18.38	19.78	2799583	87621320.00
2017/07/28	19.65	19.78	19.18	19.31	1809503	57135556.00
2017/07/31	19.39	19.74	19.19	19.38	1288983	40706160.00
2017/08/01	19.31	19.49	18.88	19.37	1709145	53082996.00
2017/08/02	19.29	19.31	18.84	18.88	1354868	41848152.00
2017/08/03	19.05	19.43	18.72	18.98	1431380	44274008.00
2017/08/04	19.12	19.17	18.21	18.32	1365208	41257784.00
2017/08/07	18.48	18.74	18.44	18.53	846942	25539346.00
2017/08/08	18.62	18.65	17.89	18.60	1188705	35436976.00
2017/08/09	18.50	18.66	18.28	18.34	800595	24000644.00
2017/08/10	18.42	18.54	18.12	18.24	897214	26699140.00
2017/08/11	18.09	18.49	18.06	18.14	836810	24778720.00
2017/08/14	18.33	18.93	18.15	18.81	1346209	40815640.00
2017/08/15	18.74	19.31	18.69	19.28	1802856	55720072.00
2017/08/16	19.12	20.04	19.02	19.71	2738659	87342048.00
2017/08/17	19.62	20.24	19.44	19.65	2171950	69654368.00
2017/08/18	19.53	19.99	19.19	19.31	1809645	57279740.00
2017/08/21	19.46	20.11	19.39	20.04	2021617	65012376.00
2017/08/22	20.06	20.87	20.01	20.04	2757182	91172192.00
2017/08/23	19.82	21.29	19.60	20.94	4285474	142285216.00
2017/08/24	20.99	23.06	20.98	22.47	8273505	303444128.00
2017/08/25	22.06	23.94	21.81	23.44	7835233	287874688.00
2017/08/28	23.26	24.06	22.68	23.41	7273475	274186560.00
