300709 精研科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/10/19	45.82	55.11	45.82	55.11	10455	574758.13
2017/10/20	60.68	60.68	60.68	60.68	2884	176789.20
2017/10/23	66.81	66.81	66.81	66.81	7368	496824.25
2017/10/24	73.55	73.55	73.55	73.55	10998	815721.69
2017/10/25	80.97	80.97	80.97	80.97	43429	3543372.00
2017/10/26	89.13	89.13	89.13	89.13	123049	11043648.00
2017/10/27	97.38	98.11	94.74	98.11	8764723	858243328.00
2017/10/30	93.98	98.13	90.31	90.39	9125813	862963456.00
2017/10/31	91.91	93.91	90.38	92.53	5926090	549895104.00
2017/11/01	91.38	101.38	88.39	97.24	8518963	809739840.00
2017/11/02	95.88	99.08	94.38	94.38	6010166	583632192.00
2017/11/03	94.88	95.96	88.96	92.52	5701440	528864000.00
2017/11/06	95.88	101.38	95.88	96.23	6833711	671386304.00
2017/11/07	95.23	105.92	94.36	105.92	8037985	820791040.00
2017/11/08	110.38	111.98	104.01	104.08	9841159	1070239296.00
2017/11/09	102.38	106.84	100.89	105.17	6644360	694545216.00
2017/11/10	103.99	107.38	102.23	102.30	5608033	589067776.00
2017/11/13	101.88	105.59	101.88	103.57	4257617	444446080.00
2017/11/14	104.83	109.05	101.49	106.68	6577284	696962432.00
2017/11/15	104.98	105.37	95.95	95.98	6606067	658585408.00
2017/11/16	94.66	96.75	90.38	91.38	3804385	357372608.00
2017/11/17	90.66	91.88	82.18	82.18	4410211	381096512.00
2017/11/20	82.37	85.98	80.58	85.21	2923115	247887520.00
2017/11/21	84.28	85.18	76.63	82.61	4359799	354931968.00
2017/11/22	81.68	83.93	79.49	82.79	2798864	231745264.00
2017/11/23	81.18	83.76	80.38	80.74	2201164	182398208.00
2017/11/24	78.40	81.78	77.88	78.10	1956059	157495872.00
2017/11/27	77.51	80.67	77.51	78.22	1719337	136965696.00
2017/11/28	78.86	83.95	78.86	83.77	2987049	245784832.00
2017/11/29	82.89	83.18	79.63	81.83	2383747	195533648.00
2017/11/30	81.46	83.98	81.29	81.76	1722224	143290624.00
2017/12/01	81.48	83.75	81.48	82.52	1721128	143784320.00
2017/12/04	83.38	86.18	78.18	78.91	2877516	237842960.00
2017/12/05	77.58	79.88	70.96	72.46	2805840	211657712.00
2017/12/06	72.48	75.78	72.48	75.38	2145124	160547712.00
2017/12/07	74.49	76.73	73.99	75.29	1299430	99232032.00
2017/12/08	76.18	79.34	76.18	78.16	1929194	152107712.00
2017/12/11	78.04	79.21	77.38	78.43	1026035	80677384.00
2017/12/12	78.03	79.22	77.05	77.45	1265583	99448688.00
2017/12/13	77.45	78.86	76.98	78.45	837775	66016372.00
2017/12/14	78.63	79.26	76.99	78.23	890057	70030560.00
2017/12/15	78.37	79.04	73.74	74.65	1375365	106022304.00
2017/12/18	75.06	76.28	72.90	74.38	847983	63818860.00
2017/12/19	74.38	75.38	73.18	74.30	829198	62168676.00
2017/12/20	73.98	74.68	71.38	71.72	992491	72253120.00
2017/12/21	71.05	73.82	71.05	73.10	1040241	76446192.00
2017/12/22	72.96	73.83	72.18	72.22	741416	54562476.00
2017/12/25	70.95	71.85	67.51	69.88	1724295	120264144.00
2017/12/26	69.38	74.08	68.92	72.53	1637359	118936040.00
2017/12/27	72.84	73.48	71.08	71.53	1415999	103070048.00
2017/12/28	71.38	74.76	70.98	72.51	1494624	110402832.00
2017/12/29	71.38	73.06	71.18	71.71	1142621	82725544.00
2018/01/02	72.07	72.86	71.39	71.89	771586	55953688.00
2018/01/03	71.98	71.98	69.79	71.38	1215847	86736912.00
2018/01/04	71.17	72.88	70.36	72.13	1525400	109712360.00
2018/01/05	71.96	72.60	70.29	70.29	1046984	75136408.00
2018/01/08	70.37	71.68	69.87	70.58	912979	65001600.00
2018/01/09	70.69	70.86	70.01	70.79	681526	48518440.00
2018/01/10	70.81	72.98	70.38	71.39	1681463	121725704.00
