300726 宏达电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/11/21	13.04	15.72	13.04	15.72	9357	149946.98
2017/11/22	17.33	17.33	17.33	17.33	2824	49928.32
2017/11/23	19.10	19.10	19.10	19.10	4600	89470.00
2017/11/24	21.05	21.05	21.05	21.05	10383	222196.20
2017/11/27	23.19	23.19	23.19	23.19	21596	508369.84
2017/11/28	25.54	25.54	25.54	25.54	55668	1441244.50
2017/11/29	28.13	28.13	28.13	28.13	74636	2125633.25
2017/11/30	30.98	30.98	30.98	30.98	157454	4933034.00
2017/12/01	34.11	34.11	34.11	34.11	161385	5561327.00
2017/12/04	37.56	37.56	30.86	31.05	22188383	751259904.00
2017/12/05	32.15	34.19	30.65	31.64	18864076	618826240.00
2017/12/06	29.75	30.99	28.54	30.28	15810150	475900224.00
2017/12/07	29.35	31.59	28.67	28.93	14635386	443711808.00
2017/12/08	27.66	31.63	27.66	29.80	14785225	443335264.00
2017/12/11	30.25	30.91	29.16	30.20	12768023	389173504.00
2017/12/12	29.25	29.46	27.15	27.15	13774232	393095328.00
2017/12/13	27.05	27.92	26.67	27.48	8026746	223100208.00
2017/12/14	27.28	29.03	27.18	28.26	9625553	275243648.00
2017/12/15	28.06	29.35	27.86	27.95	9100318	262858256.00
2017/12/18	28.13	28.33	26.33	27.76	8113450	224026128.00
2017/12/19	27.61	28.45	27.46	27.86	6466208	183223776.00
2017/12/20	27.62	28.00	26.51	26.73	6143208	168503728.00
2017/12/21	26.66	26.66	25.16	25.95	7237229	190381424.00
2017/12/22	26.05	26.93	25.90	26.07	5261921	140861616.00
2017/12/25	25.99	26.40	24.95	26.32	6350075	164880096.00
2017/12/26	25.99	28.40	25.96	27.75	10623159	296244352.00
2017/12/27	27.40	29.19	27.40	28.06	12010169	343627648.00
2017/12/28	27.61	30.83	27.34	29.97	14035197	419863648.00
2017/12/29	29.41	30.40	28.45	28.55	9988965	295029216.00
2018/01/02	28.91	29.55	28.66	29.09	7000789	205845680.00
2018/01/03	29.15	30.03	27.90	28.44	8853144	258120848.00
2018/01/04	27.98	31.32	27.95	29.91	13951843	423973824.00
2018/01/05	29.37	30.09	28.91	29.51	9322370	277417824.00
2018/01/08	29.45	31.03	28.70	30.86	10545684	318541600.00
2018/01/09	30.45	33.04	30.35	31.90	14407742	464265024.00
2018/01/10	31.25	31.85	29.81	30.71	9487001	296568480.00
2018/01/11	29.97	32.45	29.87	30.82	11090164	352817376.00
2018/01/12	30.44	30.44	28.85	29.30	9250298	276840000.00
2018/01/15	28.63	28.93	27.61	27.83	6373486	181074912.00
2018/01/16	27.75	29.09	27.64	28.55	5597407	161195296.00
2018/01/17	28.65	31.01	28.24	30.25	9939829	299930816.00
2018/01/18	29.96	30.44	29.45	29.74	6476091	195985136.00
2018/01/19	30.15	32.75	30.05	31.48	18404222	600356672.00
2018/01/22	28.65	29.31	28.30	28.30	13989773	403418848.00
2018/01/23	27.75	28.85	27.63	28.41	7214511	206519712.00
2018/01/24	28.21	29.20	28.16	28.95	8256590	241040288.00
2018/01/25	28.74	29.96	28.45	28.62	8826172	261341488.00
2018/01/26	28.55	28.90	27.48	27.69	7274581	206930464.00
2018/01/29	27.53	28.09	26.83	28.00	4560380	127491320.00
2018/01/30	27.92	28.12	27.25	27.42	3180888	88753240.00
2018/01/31	27.30	27.30	25.33	25.50	5020303	132680776.00
2018/02/01	25.44	25.80	23.65	24.48	3503666	88447608.00
2018/02/02	24.52	24.90	23.65	24.32	2330247	57756092.00
2018/02/05	23.65	24.24	22.60	22.63	3062083	72728576.00
2018/02/06	21.89	22.40	20.33	20.33	3976177	86556488.00
2018/02/07	21.15	21.34	19.27	21.01	4826560	101502992.00
2018/02/08	20.53	21.61	20.53	21.27	2641684	57024824.00
2018/02/09	20.15	21.15	19.77	20.33	2881369	59882516.00
2018/02/12	20.90	21.28	20.56	20.92	2007473	42749736.00
2018/02/13	21.03	21.19	20.62	20.67	2136628	45390256.00
2018/02/14	20.85	20.93	20.14	20.24	1359112	28254792.00
2018/02/22	20.51	21.13	20.43	20.99	2135452	45253320.00
2018/02/23	21.04	21.53	20.78	21.36	2870086	61533348.00
2018/02/26	22.05	22.61	21.65	22.45	3904886	88021336.00
2018/02/27	22.47	23.45	22.26	22.69	4744896	109830872.00
2018/02/28	22.25	22.63	21.95	22.20	2894356	65452264.00
2018/03/01	22.08	22.79	21.96	22.60	2676370	61179100.00
2018/03/02	22.27	22.84	22.13	22.15	2261912	51483652.00
2018/03/05	22.47	23.64	22.33	23.13	3837997	90061192.00
2018/03/06	22.93	23.79	22.70	23.18	4930381	116722208.00
2018/03/07	23.04	23.38	22.83	23.02	2993860	70161944.00
2018/03/08	23.02	23.82	23.02	23.76	5076841	121158400.00
2018/03/09	23.84	24.71	23.55	24.52	6239378	153432368.00
2018/03/12	24.80	25.53	24.14	24.53	6268883	156694448.00
2018/03/13	24.54	24.54	23.55	23.58	4175498	101804840.00
2018/03/14	23.35	24.65	23.28	23.79	4494083	109890032.00
2018/03/15	23.18	23.33	21.73	22.72	5265478	120532512.00
2018/03/16	22.55	22.79	22.35	22.35	2254548	51708200.00
2018/03/19	22.35	24.55	22.33	23.73	5390449	128568664.00
2018/03/20	23.29	23.90	23.05	23.77	3924633	93566896.00
2018/03/21	23.80	25.85	23.66	24.15	9563218	239127696.00
2018/03/22	23.71	24.74	23.71	24.48	6001917	147568656.00
2018/03/23	23.45	26.13	22.45	24.85	9640951	236073264.00
2018/03/26	25.80	27.37	25.80	27.37	4430159	121540032.00
2018/03/27	30.14	30.14	30.14	30.14	837273	25528454.00
2018/03/28	33.19	33.19	33.19	33.19	7335383	246028752.00
2018/03/29	32.95	35.53	31.95	34.33	26277107	884096640.00
2018/03/30	33.31	37.80	32.98	37.80	18716117	665228928.00
2018/04/02	39.91	41.44	35.15	36.66	26183485	1007821248.00
2018/04/03	36.25	39.95	35.85	37.65	20795591	798179328.00
2018/04/04	37.15	41.25	36.25	38.80	21476005	841623040.00
2018/04/09	37.65	40.45	36.80	38.06	17654696	686925568.00
2018/04/10	37.73	41.90	37.65	41.90	21307547	858802432.00
2018/04/11	39.65	41.28	38.27	39.57	19405763	781192448.00
2018/04/12	38.35	39.71	35.58	35.58	15527772	581021440.00
2018/04/13	34.68	35.40	33.88	33.96	10408690	361324736.00
2018/04/16	34.03	34.75	33.68	34.55	7584829	262462544.00
2018/04/17	34.90	34.90	31.06	31.09	10029026	332414528.00
2018/04/18	31.35	34.14	30.66	32.87	9927806	324443904.00
2018/04/19	33.00	33.58	32.30	33.40	9467490	315976416.00
2018/04/20	32.63	33.13	31.35	31.48	7301404	237123296.00
2018/04/23	31.31	32.58	29.95	31.18	4956408	157917600.00
2018/04/24	31.55	33.43	31.55	33.14	8992710	298040384.00
2018/04/25	32.31	34.51	32.05	33.98	10957060	369362080.00
2018/04/26	33.85	33.85	32.65	32.68	7246286	243724768.00
2018/04/27	33.09	33.39	32.30	32.38	4650944	154472176.00
2018/05/02	32.54	32.85	29.46	29.85	6515340	203095152.00
2018/05/03	29.90	31.13	29.29	30.84	4796292	147041984.00
2018/05/04	31.10	33.42	31.05	31.75	8018988	261633920.00
2018/05/07	31.33	32.69	31.33	32.21	5731942	186074480.00
2018/05/08	33.12	33.40	31.76	32.21	5732276	188198656.00
2018/05/09	32.05	33.03	31.96	32.13	5703148	187145088.00
2018/05/10	32.45	32.61	31.02	31.41	5157100	164460128.00
2018/05/11	32.54	34.59	32.54	32.78	11244784	380664768.00
2018/05/14	32.04	32.53	31.33	31.77	6481164	208667040.00
2018/05/15	31.63	31.94	30.84	31.94	5247987	166542256.00
2018/05/16	31.75	31.95	31.06	31.11	4259984	135410832.00
2018/05/17	31.33	31.75	30.85	31.73	4308120	136729344.00
2018/05/18	31.75	31.75	30.85	31.32	3552317	112353120.00
2018/05/21	31.52	32.90	31.13	32.53	7630462	246887664.00
2018/05/22	32.53	33.93	32.25	33.90	10567304	354939008.00
2018/05/23	33.84	34.65	33.16	33.89	10774872	369766976.00
2018/05/24	33.68	34.43	33.28	33.56	5820253	198576656.00
2018/05/25	33.64	34.93	32.81	34.59	10563779	363765184.00
2018/05/28	34.15	34.54	32.93	33.05	6469433	219608848.00
2018/05/29	32.85	33.43	31.35	31.36	6020048	196414816.00
2018/05/30	30.75	30.75	28.19	28.19	6299167	186512976.00
2018/05/31	28.36	28.85	27.65	28.47	4183730	120468784.00
2018/06/01	27.73	29.01	27.15	27.69	3421511	97319416.00
2018/06/04	28.10	28.51	27.46	28.05	2933344	83268056.00
2018/06/05	28.22	29.49	28.13	29.47	4110968	120343384.00
2018/06/06	29.45	29.65	28.96	29.53	3768768	111761432.00
2018/06/07	29.80	29.85	28.86	28.90	2720092	80226248.00
2018/06/08	28.63	29.27	28.36	29.02	2638655	77050896.00
2018/06/11	28.86	29.20	28.23	28.47	2609023	75884632.00
2018/06/12	28.73	28.85	26.67	27.86	3699966	103299664.00
2018/06/13	27.48	28.23	27.21	27.21	2727548	76717256.00
2018/06/14	27.45	28.05	27.10	27.68	2922800	81986728.00
2018/06/15	27.75	27.92	26.22	26.54	2973924	81051128.00
2018/06/19	25.65	26.53	23.85	24.00	4234814	106314352.00
2018/06/20	24.05	26.44	24.05	26.21	5362879	138143920.00
2018/06/21	25.78	26.01	24.72	24.76	4250067	109039768.00
2018/06/22	24.32	25.73	24.00	25.32	3073386	78470776.00
2018/06/25	25.64	27.20	25.44	26.43	5193743	139622304.00
2018/06/26	25.75	27.45	25.75	26.98	4817040	130745080.00
2018/06/27	26.86	27.16	26.48	26.80	3620363	98322520.00
2018/06/28	26.79	27.32	26.75	26.89	3566900	97592528.00
2018/06/29	26.77	28.34	26.16	28.05	5776168	160785584.00
2018/07/02	28.09	28.63	27.19	27.61	4698507	133073168.00
2018/07/03	27.68	29.41	27.27	28.88	5607338	160911136.00
2018/07/04	28.88	29.45	26.99	27.33	5030534	143649904.00
2018/07/05	27.40	27.89	25.85	25.89	3415424	92854568.00
2018/07/06	26.10	28.50	25.96	27.70	7147254	197882896.00
2018/07/09	28.14	29.99	28.14	29.17	8286503	242713328.00
2018/07/10	29.03	32.09	28.43	30.05	8484071	253854672.00
2018/07/11	29.25	29.73	28.42	29.23	6761491	198291872.00
2018/07/12	29.81	31.45	29.77	30.20	7523292	230827056.00
2018/07/13	30.49	31.25	29.93	31.15	7231936	223038512.00
2018/07/16	33.05	34.29	31.79	32.48	13592431	457035808.00
2018/07/17	32.58	32.87	30.75	31.55	9823064	312993056.00
2018/07/18	31.69	32.60	31.23	31.23	7381222	237254928.00
2018/07/19	30.65	31.35	30.05	30.98	5266025	162663008.00
2018/07/20	30.65	31.40	30.55	31.05	4680389	146210816.00
2018/07/23	31.20	31.86	30.92	31.61	4743763	150432160.00
2018/07/24	31.69	31.73	30.90	31.35	4157122	131061856.00
2018/07/25	31.35	31.87	30.23	30.35	5048656	158092992.00
2018/07/26	30.47	30.51	29.87	30.13	3029672	91955376.00
2018/07/27	30.14	30.14	28.76	29.03	3386100	99986920.00
2018/07/30	28.89	29.31	28.28	29.05	2739482	79548472.00
2018/07/31	30.75	30.85	29.32	29.49	3582429	108500848.00
2018/08/01	30.50	30.50	28.95	29.29	2552525	76439936.00
2018/08/02	28.95	30.74	27.29	30.55	6396405	188652400.00
2018/08/03	30.27	30.65	29.25	29.73	3645704	109832280.00
2018/08/06	30.25	31.00	29.08	30.55	6295278	193634032.00
2018/08/07	30.40	31.63	29.61	31.59	8075018	250845664.00
2018/08/08	31.15	31.52	30.03	30.04	5621373	174345280.00
2018/08/09	29.59	32.30	28.95	31.70	9515369	301195840.00
2018/08/10	31.41	32.14	31.20	31.94	7917990	253199808.00
2018/08/13	31.40	32.63	30.77	32.10	8120024	262241952.00
2018/08/14	32.89	33.23	31.05	31.13	7537212	244831600.00
2018/08/15	30.86	31.75	30.57	30.85	4794764	150318240.00
2018/08/16	29.76	30.95	29.40	29.71	4162672	126305824.00
2018/08/17	30.40	30.40	26.78	27.65	5539772	158850304.00
2018/08/20	27.10	28.08	26.85	27.92	3014624	83646664.00
2018/08/21	27.88	28.41	27.15	28.06	2874448	80620904.00
2018/08/22	27.89	28.09	27.37	27.37	1851724	51700468.00
2018/08/23	27.30	27.97	27.26	27.68	1919924	53716740.00
2018/08/24	27.80	27.82	27.09	27.21	1816472	50340248.00
2018/08/27	27.35	28.14	27.31	28.02	2985924	84164992.00
2018/08/28	28.55	28.55	27.86	28.15	2570624	73019848.00
2018/08/29	28.45	28.50	27.35	27.70	1992813	56022600.00
2018/08/30	27.75	28.21	27.52	27.61	1802124	50648140.00
2018/08/31	27.40	27.53	26.25	26.26	2301200	62572544.00
2018/09/03	26.09	26.57	24.70	26.48	3138616	81235192.00
2018/09/04	26.25	27.24	25.68	27.04	3202548	86435624.00
2018/09/05	27.05	27.23	26.41	26.68	2543148	68944552.00
2018/09/06	26.60	27.08	26.37	26.73	1502900	40607356.00
2018/09/07	26.83	27.23	26.07	26.10	1895391	50953656.00
2018/09/10	25.94	26.23	25.25	25.31	1586748	41097172.00
2018/09/11	25.55	26.03	25.31	25.63	1186200	30749096.00
2018/09/12	25.92	26.10	25.55	25.80	1328524	34696448.00
2018/09/13	26.14	26.70	25.82	26.53	2284324	60822564.00
2018/09/14	26.76	26.93	25.68	25.71	2053300	54543892.00
2018/09/17	25.42	25.70	24.76	24.92	1519823	38525568.00
2018/09/18	24.71	25.55	24.71	25.33	1261048	31993792.00
2018/09/19	25.39	25.90	24.64	25.55	2811471	72054440.00
2018/09/20	25.50	25.94	25.09	25.20	1637371	42029212.00
2018/09/21	25.42	25.49	24.85	25.42	1688525	43087872.00
2018/09/25	25.25	25.76	25.25	25.64	1452073	37453944.00
2018/09/26	25.65	25.85	25.23	25.65	1784009	46018228.00
2018/09/27	25.64	25.64	24.42	24.42	1931924	48731864.00
2018/09/28	24.46	24.90	24.46	24.73	949510	23746030.00
2018/10/08	23.92	24.34	23.64	23.76	1320225	31959488.00
2018/10/09	23.76	24.11	23.56	23.86	848637	20416522.00
2018/10/10	23.68	24.55	23.35	24.44	1865361	45509740.00
2018/10/11	23.66	24.06	21.97	22.39	2823486	65179744.00
2018/10/12	23.38	23.67	21.75	22.67	1609537	36947628.00
2018/10/15	22.67	23.24	22.42	22.67	1450820	33414202.00
2018/10/16	24.59	24.85	22.86	23.03	3322954	80533208.00
2018/10/17	22.81	23.25	22.05	22.97	1977057	45604212.00
2018/10/18	22.75	22.75	21.65	21.76	1423196	31826170.00
2018/10/19	20.92	22.24	20.92	21.91	1915529	42392708.00
2018/10/22	22.05	23.15	21.96	22.75	3483489	79723400.00
2018/10/23	22.74	22.80	21.42	21.60	2960550	66132524.00
2018/10/24	21.37	21.83	21.18	21.24	1652044	35852912.00
2018/10/25	20.59	20.59	19.09	19.75	3671620	73141136.00
2018/10/26	20.19	20.19	19.36	19.63	2099900	41994780.00
2018/10/29	19.58	19.63	18.72	19.02	2270348	44139052.00
2018/10/30	19.02	19.42	18.53	19.15	2047441	39515900.00
2018/10/31	19.44	19.55	19.18	19.47	2302480	45271092.00
2018/11/01	19.98	20.20	19.43	19.48	3494357	70027744.00
2018/11/02	19.66	20.49	19.66	20.36	4375397	88664592.00
2018/11/05	20.45	20.92	19.84	20.16	4619072	95460584.00
2018/11/06	19.85	20.10	19.55	19.88	2444861	48912652.00
2018/11/07	19.97	20.25	19.75	19.77	2501961	50563480.00
2018/11/08	20.00	20.10	19.35	19.35	1762361	35093636.00
2018/11/09	19.25	19.69	19.10	19.54	1726772	34050720.00
2018/11/12	19.36	20.09	19.36	19.98	2864671	57461600.00
2018/11/13	19.80	20.28	19.58	20.04	3533024	71096760.00
2018/11/14	20.20	21.34	19.88	21.03	6870837	143990208.00
2018/11/15	20.65	21.48	20.60	21.45	5766657	122581664.00
2018/11/16	21.25	21.47	20.95	21.09	4079409	87286488.00
2018/11/19	20.75	20.83	20.33	20.63	3406230	70890072.00
2018/11/20	20.41	21.14	20.38	20.46	3093477	64904692.00
2018/11/21	18.39	19.70	18.39	18.94	7799068	148409600.00
2018/11/22	18.74	19.19	18.65	18.99	3339022	64069488.00
2018/11/23	19.05	19.12	17.65	17.69	4900050	90720512.00
2018/11/26	17.47	17.74	16.60	16.95	3967011	68877160.00
2018/11/27	17.00	17.43	17.00	17.43	3076271	53951588.00
2018/11/28	17.48	17.72	17.11	17.70	3071474	54516160.00
2018/11/29	17.83	18.01	16.95	16.95	3209899	57251804.00
2018/11/30	16.95	17.80	16.86	17.78	4163596	73318856.00
2018/12/03	18.25	18.40	17.83	18.05	6616449	121364944.00
2018/12/04	17.92	18.02	17.64	17.88	3575480	64676040.00
2018/12/05	17.45	17.79	17.28	17.61	2653340	47220372.00
2018/12/06	17.65	18.00	17.37	17.61	3152372	56529216.00
2018/12/07	17.72	17.72	17.25	17.26	2862872	50649280.00
2018/12/10	17.16	17.18	16.82	16.94	2455400	42334912.00
2018/12/11	17.11	17.35	16.95	17.35	2445239	42694308.00
2018/12/12	17.53	17.53	17.19	17.34	2178724	38266816.00
2018/12/13	17.34	17.72	17.17	17.51	2850448	50579432.00
2018/12/14	17.36	17.65	17.05	17.07	2473900	43670288.00
2018/12/17	17.02	17.31	16.81	17.24	1878324	32517600.00
2018/12/18	17.05	17.59	16.87	17.59	3087709	54172468.00
2018/12/19	17.55	17.90	17.36	17.50	4222571	75636256.00
2018/12/20	17.50	17.70	17.20	17.68	3142699	55713732.00
2018/12/21	17.55	17.95	17.46	17.94	3974804	71387232.00
2018/12/24	18.04	18.74	17.91	18.59	7083952	132350264.00
2018/12/25	18.33	18.91	17.81	18.84	6938480	129518776.00
2018/12/26	18.82	18.83	17.90	18.00	5403932	100976944.00
2018/12/27	18.33	18.51	17.84	17.84	4753197	87785408.00
2018/12/28	17.81	18.26	17.74	17.83	3313559	60330868.00
2017/11/21	13.14	15.82	13.14	15.82	9357	149946.98
2017/11/22	17.43	17.43	17.43	17.43	2824	49928.32
2017/11/23	19.20	19.20	19.20	19.20	4600	89470.00
2017/11/24	21.15	21.15	21.15	21.15	10383	222196.20
2017/11/27	23.29	23.29	23.29	23.29	21596	508369.84
2017/11/28	25.64	25.64	25.64	25.64	55668	1441244.50
2017/11/29	28.23	28.23	28.23	28.23	74636	2125633.25
2017/11/30	31.08	31.08	31.08	31.08	157454	4933034.00
2017/12/01	34.21	34.21	34.21	34.21	161385	5561327.00
2017/12/04	37.66	37.66	30.96	31.15	22188383	751259904.00
2017/12/05	32.25	34.29	30.75	31.74	18864076	618826240.00
2017/12/06	29.85	31.09	28.64	30.38	15810150	475900224.00
2017/12/07	29.45	31.69	28.77	29.03	14635386	443711808.00
2017/12/08	27.76	31.73	27.76	29.90	14785225	443335264.00
2017/12/11	30.35	31.01	29.26	30.30	12768023	389173504.00
2017/12/12	29.35	29.56	27.25	27.25	13774232	393095328.00
2017/12/13	27.15	28.02	26.77	27.58	8026746	223100208.00
