300735 光弘科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/29	8.84	10.68	8.84	10.68	33887	484928.94
2018/01/02	11.79	11.79	11.79	11.79	19418	307386.94
2018/01/03	13.01	13.01	13.01	13.01	32190	560427.88
2018/01/04	14.35	14.35	14.35	14.35	25690	491963.50
2018/01/05	15.82	15.82	15.82	15.82	67027	1412258.88
2018/01/08	17.45	17.45	17.45	17.45	79299	1838150.88
2018/01/09	19.23	19.23	19.23	19.23	78137	1992493.50
2018/01/10	21.19	21.19	20.62	21.19	7504048	210429072.00
2018/01/11	21.57	23.31	21.46	22.42	49000454	1446810496.00
2018/01/12	21.17	21.87	20.62	21.09	31957053	894626688.00
2018/01/15	20.56	21.85	20.56	20.85	26351875	740620288.00
2018/01/16	19.62	21.07	18.85	20.20	24045689	637059136.00
2018/01/17	20.20	21.67	19.92	21.18	27203081	752985600.00
2018/01/18	20.92	20.92	19.45	19.52	22899474	607957760.00
2018/01/19	19.15	20.11	19.14	19.51	15441766	402941632.00
2018/01/22	18.85	19.00	17.82	18.06	17034921	413814496.00
2018/01/23	18.28	18.48	17.93	18.37	11907438	288424992.00
2018/01/24	18.31	19.02	18.16	18.52	14220071	352726944.00
2018/01/25	18.52	19.47	18.14	18.76	15520814	391665408.00
2018/01/26	18.38	18.69	17.98	18.04	12313671	297495264.00
2018/01/29	17.95	18.85	17.79	18.82	15258971	373308544.00
2018/01/30	18.77	19.15	18.34	18.54	10280864	254976240.00
2018/01/31	18.15	18.19	16.69	16.77	14016482	324140192.00
2018/02/01	16.81	17.14	16.27	16.45	9010007	199551968.00
2018/02/02	16.38	17.29	16.15	17.00	10393597	231906144.00
2018/02/05	16.23	16.74	15.28	15.45	10550034	224898544.00
2018/02/06	14.62	15.15	13.86	13.86	10650395	204864432.00
2018/02/07	14.36	14.48	13.15	14.18	10738483	201461744.00
2018/02/08	13.85	14.52	13.85	14.30	7010719	134115824.00
2018/02/09	13.85	14.22	13.46	13.68	7382503	136333632.00
2018/02/12	14.00	14.48	13.81	14.32	7513961	142613264.00
2018/02/13	14.32	14.48	13.81	13.81	6863960	129413416.00
2018/02/14	13.82	14.06	13.39	13.52	4786538	87705976.00
2018/02/22	13.77	13.95	13.62	13.88	3958264	73010952.00
2018/02/23	13.91	14.38	13.83	14.35	7132803	134612992.00
2018/02/26	14.81	15.37	14.54	14.99	10729074	214027792.00
2018/02/27	15.04	15.35	14.86	15.16	9605011	193799232.00
2018/02/28	14.91	14.98	14.62	14.77	7745697	152861392.00
2018/03/01	14.72	15.05	14.54	14.96	6715809	133339624.00
2018/03/02	14.77	16.38	14.69	15.53	13672593	284331776.00
2018/03/05	15.90	16.50	15.77	16.22	13530619	290987328.00
2018/03/06	16.02	16.71	15.87	16.16	13290797	287711232.00
2018/03/07	16.01	16.42	15.92	16.12	9087558	195799712.00
2018/03/08	16.12	17.07	16.05	16.89	16031063	355835712.00
2018/03/09	16.69	17.22	16.62	17.22	14597628	328429728.00
2018/03/12	17.52	17.81	16.94	17.15	14569782	335785664.00
2018/03/13	16.95	17.12	16.32	16.39	11927332	264058320.00
2018/03/14	16.33	17.06	16.32	16.75	11930623	266747264.00
2018/03/15	16.23	16.36	15.15	15.78	12648534	265765024.00
2018/03/16	15.84	16.00	15.52	15.55	6516013	137367952.00
2018/03/19	15.42	17.14	15.42	17.14	18634916	418387360.00
2018/03/20	17.31	18.75	17.15	17.96	31840468	757376064.00
2018/03/21	17.63	18.25	17.10	17.18	21492124	505426784.00
2018/03/22	17.28	17.76	17.18	17.33	13700658	318115584.00
2018/03/23	16.15	16.59	15.56	15.56	14881501	315996544.00
2018/03/26	15.01	16.04	14.23	15.98	10787203	218784320.00
2018/03/27	16.05	17.60	16.05	16.96	15284050	341770496.00
2018/03/28	16.54	17.59	16.37	17.15	16213398	367965088.00
2018/03/29	17.45	17.62	16.71	16.97	11077656	251963264.00
2018/03/30	17.15	17.84	17.08	17.62	16100359	375317248.00
2018/04/02	17.66	18.84	17.32	17.90	20804530	497863520.00
2018/04/03	17.31	18.96	17.15	18.91	21181786	509246176.00
2018/04/04	19.21	19.42	17.96	17.98	19093391	469589824.00
2018/04/09	17.68	18.80	17.60	18.74	15083557	367872320.00
2018/04/10	18.19	18.45	16.85	17.45	18375626	431950208.00
2018/04/11	17.52	18.06	17.27	17.76	10661617	250879088.00
2018/04/12	17.75	18.05	17.36	17.68	10654564	250830224.00
2018/04/13	17.78	18.62	17.73	17.77	12169991	292415264.00
2018/04/16	17.39	17.48	16.94	17.28	8453471	193344688.00
2018/04/17	17.32	17.86	17.02	17.05	8781808	203388944.00
2018/04/18	17.31	17.42	15.78	16.83	11477283	251813376.00
2018/04/19	16.83	16.83	16.14	16.14	8515153	186990064.00
2018/04/20	15.84	16.00	14.98	15.00	9238576	190637904.00
2018/04/23	15.17	15.46	14.98	15.31	4877034	99052704.00
2018/04/24	15.30	15.93	15.23	15.92	5818189	121518096.00
2018/04/25	15.78	16.50	15.78	15.95	6833678	147041872.00
2018/04/26	15.74	15.88	15.06	15.08	7072631	144753200.00
2018/04/27	15.17	15.42	15.02	15.19	3392299	68916824.00
2018/05/02	15.23	15.45	14.48	14.66	4517895	89575904.00
2018/05/03	14.81	15.67	14.54	15.45	5395194	108685720.00
2018/05/04	15.33	15.61	15.09	15.15	3737417	76297224.00
2018/05/07	15.35	15.70	15.34	15.61	4868916	100755872.00
2018/05/08	15.59	15.95	15.47	15.69	5247666	109720888.00
2018/05/09	15.62	15.85	15.55	15.81	3967991	83087712.00
2018/05/10	15.81	15.85	15.54	15.80	4193282	87774392.00
2018/05/11	15.78	15.85	15.19	15.25	4341713	89489336.00
2018/05/14	15.32	15.77	15.32	15.56	4730524	98213768.00
2018/05/15	15.46	16.08	15.46	16.04	7100478	149528912.00
2018/05/16	15.77	16.85	15.77	16.12	11087446	241993392.00
2018/05/17	16.00	16.11	15.75	16.05	6059662	128313184.00
2018/05/18	16.05	16.11	15.55	15.90	5056366	106552552.00
2018/05/21	16.20	16.49	16.02	16.40	7998024	173483616.00
2018/05/22	16.42	18.08	16.40	17.49	26812757	622907520.00
2018/05/23	17.11	17.48	16.96	17.07	15770439	358907808.00
2018/05/24	16.97	17.55	16.88	17.37	12866811	295002976.00
2018/05/25	17.29	17.97	17.22	17.28	11844631	277086144.00
2018/05/28	17.65	17.88	16.82	16.83	11976257	276869120.00
2018/05/29	16.90	18.55	16.58	17.35	19332788	452924192.00
2018/05/30	16.68	16.81	15.58	15.58	14337621	306410784.00
2018/05/31	15.53	15.88	15.07	15.81	8669967	180392576.00
2018/06/01	15.67	16.42	15.42	15.91	8596277	182571168.00
2018/06/04	15.96	17.31	15.93	16.63	11601106	256334464.00
2018/06/05	16.54	17.23	16.51	17.15	12638745	284305408.00
2018/06/06	17.04	17.83	17.00	17.34	14592186	337437280.00
2018/06/07	17.31	17.66	16.85	17.45	11995961	274113888.00
2018/06/08	17.29	17.98	16.94	17.45	14987440	348578912.00
2018/06/11	17.35	18.08	17.02	17.76	16659645	392104608.00
2018/06/12	17.58	17.68	16.85	17.50	12536846	289186016.00
2018/06/13	17.23	18.42	17.19	17.25	18012278	426024896.00
2018/06/14	16.77	18.06	16.42	17.92	19749852	456869824.00
2018/06/15	17.76	17.98	16.15	16.34	20831872	479116832.00
2018/06/19	15.38	16.14	14.67	14.67	12520477	254812704.00
2018/06/20	14.67	15.35	14.62	15.07	8453496	168878304.00
2018/06/21	14.95	15.22	13.52	13.52	11720285	222095104.00
2018/06/22	13.28	13.97	13.16	13.65	6799320	123571424.00
2018/06/25	13.85	13.98	13.42	13.42	5854385	107578728.00
2018/06/26	12.99	13.76	12.95	13.72	6529327	118157168.00
2018/06/27	13.79	14.30	13.72	13.91	7289923	135831152.00
2018/06/28	14.04	14.44	13.88	13.99	7082138	132373136.00
2018/06/29	13.92	14.50	13.82	14.43	7860508	148024896.00
2018/07/02	14.40	14.58	13.72	13.96	7205869	135114528.00
2018/07/03	13.92	14.54	13.81	14.50	7230382	135826976.00
2018/07/04	14.35	14.37	13.23	13.62	7737130	141849840.00
2018/07/05	13.75	13.88	13.31	13.38	4243749	76344016.00
2018/07/06	13.38	13.83	12.91	13.48	6066823	108174584.00
2018/07/09	13.68	13.96	13.62	13.92	4640919	84757632.00
2018/07/10	13.92	14.21	13.85	14.17	6005339	111434192.00
2018/07/11	13.83	13.83	13.05	13.49	6862088	122567648.00
2018/07/12	13.69	14.23	13.69	14.15	8438779	156577344.00
2018/07/13	14.25	14.25	13.95	14.18	6638600	123694760.00
2018/07/16	14.54	14.75	14.23	14.35	8683636	166416624.00
2018/07/17	14.22	14.55	14.00	14.54	6463692	122385528.00
2018/07/18	14.73	14.81	14.23	14.26	8045114	154446272.00
2018/07/19	14.12	14.30	13.83	14.02	4474679	83075488.00
