300739 明阳电路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/02/01	12.72	13.90	12.72	13.90	14844	476373.84
2018/02/02	15.33	15.33	15.33	15.33	5488	193836.16
2018/02/05	16.90	16.90	16.90	16.90	16262	631778.69
2018/02/06	18.63	18.63	18.63	18.63	82040	3506389.50
2018/02/07	20.53	20.53	20.53	20.53	333860	15694759.00
2018/02/08	19.63	19.63	18.44	18.44	13109186	565051264.00
2018/02/09	16.69	18.86	16.68	17.72	11138681	454397248.00
2018/02/12	18.22	19.34	17.85	18.52	10613152	452397728.00
2018/02/13	17.94	18.12	16.63	16.63	9938941	390104384.00
2018/02/14	16.38	16.83	15.63	15.83	6279783	233964560.00
2018/02/22	15.91	16.39	15.65	16.06	5357120	198290272.00
2018/02/23	15.94	16.73	15.85	16.44	7028048	261904912.00
2018/02/26	17.14	17.67	16.82	17.09	9314805	368704096.00
2018/02/27	16.97	18.25	16.52	17.77	11001003	442672320.00
2018/02/28	17.04	17.15	16.08	16.17	9185042	349519072.00
2018/03/01	16.08	16.81	16.02	16.62	5999420	228584544.00
2018/03/02	16.26	17.32	16.02	16.07	5559559	208307344.00
2018/03/05	16.13	17.63	16.11	17.59	8369803	325883616.00
2018/03/06	17.20	17.93	17.00	17.31	8616321	344827808.00
2018/03/07	17.19	18.52	17.06	18.00	10364492	424966784.00
2018/03/08	17.72	18.73	17.64	18.26	9658337	403840032.00
2018/03/09	18.08	20.12	17.99	20.12	11550201	506376800.00
2018/03/12	21.20	22.07	19.18	19.46	15034608	709303296.00
2018/03/13	19.24	19.37	18.61	18.63	8853104	384873184.00
2018/03/14	18.41	18.96	18.34	18.55	6309437	270859968.00
2018/03/15	18.06	18.06	16.72	17.31	8004860	317615712.00
2018/03/16	17.33	17.47	17.15	17.37	4540602	180784064.00
2018/03/19	17.44	18.07	17.32	17.73	5293344	215921280.00
2018/03/20	17.40	18.03	17.06	17.96	5155092	207448528.00
2018/03/21	17.94	18.51	17.38	17.38	6210999	257669888.00
2018/03/22	17.19	17.98	17.06	17.75	4403592	178405072.00
2018/03/23	16.83	17.30	15.94	15.94	5957442	225865616.00
2018/03/26	15.35	16.59	15.23	16.52	4913660	182165456.00
2018/03/27	16.53	17.58	16.53	17.13	5860499	231031696.00
2018/03/28	16.76	17.50	16.55	17.23	5298655	208245536.00
2018/03/29	17.30	17.66	16.86	17.43	5222469	208163408.00
2018/03/30	17.52	18.66	17.52	18.20	7198699	298625440.00
2018/04/02	18.30	19.94	17.94	18.83	10561023	461011520.00
2018/04/03	18.08	18.54	17.94	18.54	6972087	291826368.00
2018/04/04	18.59	19.10	18.01	18.03	6709280	285652608.00
2018/04/09	17.55	19.63	17.50	19.22	8461462	360105120.00
2018/04/10	18.36	18.56	17.26	17.54	9975167	408633152.00
2018/04/11	17.57	17.97	17.10	17.86	5752764	233188512.00
2018/04/12	17.86	19.33	17.72	18.61	10436895	446516160.00
2018/04/13	18.61	19.84	18.43	19.42	12188595	539991168.00
2018/04/16	18.83	19.32	18.05	19.32	7627565	326145024.00
2018/04/17	19.15	19.83	18.28	18.41	7158218	313181536.00
2018/04/18	18.90	20.29	18.88	20.29	9855949	450279584.00
2018/04/19	22.12	22.36	19.84	19.86	15282413	750793216.00
2018/04/20	19.50	21.88	19.50	21.41	19375477	922687360.00
2018/04/23	20.52	21.41	19.41	19.63	13478117	631581376.00
2018/04/24	19.19	21.61	18.82	20.83	12943265	600726784.00
2018/04/25	20.26	22.95	20.08	22.95	17845889	910028672.00
2018/04/26	21.97	25.18	21.97	22.94	19044148	1006506688.00
2018/04/27	22.52	22.94	20.86	20.97	11692084	579438912.00
2018/05/02	21.10	21.63	19.87	20.42	8930369	425330368.00
2018/05/03	20.43	22.39	19.99	22.11	10496515	512856928.00
2018/05/04	21.64	22.06	20.53	20.94	8577412	418252736.00
2018/05/07	20.92	21.86	20.88	21.44	7207745	351973248.00
2018/05/08	21.34	21.78	21.01	21.40	6295497	307025792.00
2018/05/09	21.12	22.37	21.00	21.60	8157803	405454816.00
2018/05/10	21.46	21.68	21.07	21.42	5481823	267256368.00
2018/05/11	21.81	22.51	21.50	21.50	8511738	426513920.00
2018/05/14	20.93	20.93	19.86	20.45	6585113	309231392.00
2018/05/15	20.43	20.75	20.05	20.70	5032414	235544096.00
2018/05/16	20.70	20.92	20.31	20.39	4253985	200430144.00
2018/05/17	20.34	20.87	20.34	20.58	3193904	150447216.00
2018/05/18	20.56	20.71	19.25	19.72	5682091	258557184.00
2018/05/21	19.91	20.79	19.70	20.77	5386438	251924304.00
2018/05/22	20.87	22.43	20.58	21.54	8584587	420027712.00
2018/05/23	21.67	23.72	21.17	22.43	21925855	749203008.00
2018/05/24	22.12	24.43	21.90	23.13	21168047	745065280.00
2018/05/25	23.02	23.57	22.17	22.51	14472665	499632096.00
2018/05/28	22.41	23.09	21.75	21.90	10441326	356667008.00
2018/05/29	21.68	22.37	20.95	20.99	9690481	317561056.00
2018/05/30	20.17	20.63	18.87	18.87	9748111	293134464.00
2018/05/31	19.03	19.43	18.52	19.21	7170549	207816240.00
2018/06/01	18.95	19.33	17.51	18.16	7810152	219164720.00
2018/06/04	18.48	19.00	17.94	18.64	6100280	172337408.00
2018/06/05	18.57	19.43	18.53	19.37	7138017	208106192.00
2018/06/06	19.18	19.72	19.18	19.43	7281108	214693200.00
2018/06/07	19.50	19.51	18.63	18.75	6342560	182977488.00
2018/06/08	18.59	19.41	18.20	19.41	7416885	213826464.00
2018/06/11	19.15	19.39	18.68	18.90	5024736	145232272.00
2018/06/12	18.97	20.43	18.83	20.10	11907780	359364832.00
2018/06/13	19.77	20.16	19.37	19.73	7662310	229098496.00
2018/06/14	19.63	20.09	19.23	19.95	7662769	230189936.00
2018/06/15	19.78	19.89	18.51	18.75	7087249	207126880.00
2018/06/19	17.49	18.16	16.85	16.85	5014403	133272136.00
2018/06/20	16.13	17.39	16.13	17.15	6357327	162695856.00
2018/06/21	17.12	17.30	15.42	15.44	6309784	156196272.00
2018/06/22	15.50	16.09	15.23	15.73	4106582	98341872.00
2018/06/25	15.97	16.28	15.73	15.77	3984059	96846864.00
2018/06/26	15.47	16.51	15.37	16.45	5377463	132235016.00
2018/06/27	16.62	17.26	16.33	16.99	7325946	187513872.00
2018/06/28	16.97	18.71	16.57	18.71	7623208	205190512.00
2018/06/29	19.37	20.43	19.10	19.39	16946985	505262848.00
2018/07/02	19.10	20.83	19.09	19.59	14052029	422767808.00
2018/07/03	19.37	21.57	19.32	21.57	17684910	549122240.00
2018/07/04	20.77	21.09	19.39	19.40	16098779	493929120.00
2018/07/05	19.24	19.89	18.50	18.88	9957419	289749792.00
2018/07/06	19.17	20.14	18.95	19.28	11454662	339545472.00
2018/07/09	19.21	19.75	19.03	19.72	8400934	249143616.00
2018/07/10	19.47	20.03	19.11	20.03	8984426	266938928.00
2018/07/11	19.44	19.79	18.53	19.22	7988660	233217040.00
2018/07/12	19.41	20.69	19.30	20.09	12292820	374680000.00
2018/07/13	19.43	19.69	18.90	19.42	9161986	268202320.00
2018/07/16	19.27	19.67	19.14	19.25	5160613	151929664.00
2018/07/17	19.43	19.68	18.63	19.68	6807694	199078560.00
2018/07/18	20.03	20.61	19.52	19.56	11438533	350132640.00
2018/07/19	19.95	21.10	19.83	20.16	10873051	335058880.00
2018/07/20	19.11	19.76	19.10	19.66	7531856	222745856.00
2018/07/23	19.49	20.09	19.33	19.71	5815059	173989488.00
2018/07/24	19.70	20.02	19.51	19.97	6436307	193297104.00
2018/07/25	19.97	20.29	19.17	19.27	7231857	217120832.00
2018/07/26	19.09	19.09	17.32	17.33	9396364	256425280.00
2018/07/27	17.14	17.51	17.11	17.17	3455722	91015920.00
2018/07/30	17.23	17.36	16.30	16.69	3832137	97535656.00
2018/07/31	16.77	16.88	16.55	16.71	2309300	58769672.00
2018/08/01	16.83	17.03	16.51	16.51	2930123	74924240.00
2018/08/02	16.34	16.47	15.39	16.24	3973418	96356784.00
2018/08/03	16.20	16.36	15.79	15.79	2542910	62196212.00
2018/08/06	15.64	16.09	15.53	15.82	2922771	70496752.00
2018/08/07	16.01	16.56	15.78	16.53	4345835	107519312.00
2018/08/08	16.51	16.72	15.92	15.97	3727382	92572248.00
2018/08/09	15.80	16.90	15.77	16.60	5796882	146213888.00
2018/08/10	16.49	17.06	16.45	17.03	5770909	147334368.00
2018/08/13	16.43	17.29	16.30	17.21	5049616	129820424.00
2018/08/14	17.11	17.20	16.55	16.74	4212309	107745200.00
2018/08/15	16.67	17.34	16.50	16.60	5066673	129882448.00
2018/08/16	16.23	16.71	15.89	15.99	3702348	91677440.00
2018/08/17	16.28	16.53	15.65	15.75	3131437	76607312.00
2018/08/20	15.72	16.21	15.43	16.17	3128646	75442272.00
2018/08/21	16.17	16.41	15.89	16.24	3479605	85672728.00
2018/08/22	16.13	16.24	15.69	15.72	2932789	71281552.00
2018/08/23	15.90	16.23	15.74	16.12	3274484	80129776.00
2018/08/24	15.95	16.26	15.85	15.93	2691432	65729896.00
2018/08/27	15.79	17.00	15.79	16.64	5021350	125755168.00
2018/08/28	16.57	17.08	16.44	16.74	5024466	128330696.00
2018/08/29	16.77	16.77	16.39	16.59	2873046	72088728.00
2018/08/30	16.57	16.71	15.90	15.97	3233343	80220568.00
2018/08/31	15.61	16.03	15.61	15.69	2266116	54444672.00
2018/09/03	15.78	15.78	14.09	14.97	3598229	81441120.00
2018/09/04	14.78	15.13	14.78	14.97	2402960	54777508.00
2018/09/05	14.91	15.13	14.37	14.40	2725417	61353372.00
2018/09/06	14.37	14.78	14.33	14.57	2642259	58775308.00
2018/09/07	14.59	14.83	14.13	14.23	2762286	60885076.00
2018/09/10	14.30	14.41	14.09	14.10	2457180	53360200.00
2018/09/11	13.97	14.37	13.91	14.29	2335418	50442088.00
2018/09/12	14.29	14.43	14.11	14.34	2430152	52895464.00
2018/09/13	14.51	14.63	14.22	14.53	2711046	59782828.00
2018/09/14	14.62	14.62	14.03	14.11	2447834	53412948.00
2018/09/17	13.99	14.02	13.20	13.25	2411737	49990204.00
2018/09/18	13.39	13.69	13.27	13.60	2300587	47359060.00
2018/09/19	13.43	14.29	13.43	14.01	4310381	91610448.00
2018/09/20	13.87	14.02	13.63	13.71	2428116	51110552.00
2018/09/21	13.72	13.94	13.71	13.89	1999160	42194872.00
2018/09/25	13.80	14.04	13.71	13.81	1815200	38388036.00
2018/09/26	13.81	14.05	13.51	13.81	2579819	54278696.00
2018/09/27	13.81	13.86	12.97	13.01	3069938	62750152.00
2018/09/28	13.10	13.43	13.01	13.40	2152690	43692692.00
2018/10/08	13.04	13.23	12.15	12.41	2428760	47362752.00
2018/10/09	12.57	12.76	12.45	12.71	1879153	36365372.00
2018/10/10	12.70	13.38	12.70	13.11	3443340	68918448.00
2018/10/11	12.38	12.71	11.79	11.96	3637065	68074760.00
2018/10/12	12.13	12.53	11.64	12.31	3633452	67635216.00
2018/10/15	12.80	13.00	12.43	12.51	4149759	80285488.00
2018/10/16	12.51	13.49	12.29	12.82	4974209	96838288.00
2018/10/17	13.02	13.23	12.65	13.15	5393788	107201096.00
2018/10/18	13.04	13.04	12.33	12.37	3476723	67827824.00
2018/10/19	12.20	13.07	11.97	12.90	3822524	74021592.00
2018/10/22	12.97	13.75	12.97	13.50	5774540	117697352.00
2018/10/23	13.43	13.55	13.15	13.32	4180809	84974864.00
2018/10/24	13.30	13.53	13.04	13.11	3069483	62318920.00
2018/10/25	12.53	12.68	12.11	12.53	3700543	70298104.00
2018/10/26	12.76	13.09	12.54	12.77	3349221	65382940.00
2018/10/29	12.43	13.09	12.37	12.99	3473506	68392704.00
2018/10/30	12.96	13.09	12.43	13.07	3602618	70594712.00
2018/10/31	13.25	13.73	13.10	13.47	5777806	118047800.00
2018/11/01	13.41	14.13	13.32	13.49	6217687	129076168.00
2018/11/02	13.63	14.03	13.51	14.00	6724004	141721392.00
2018/11/05	13.97	14.27	13.47	13.75	6578620	138780400.00
2018/11/06	13.63	13.63	13.07	13.43	4201281	85275688.00
2018/11/07	13.45	13.81	13.32	13.46	3813232	78957440.00
2018/11/08	13.63	13.74	13.23	13.59	3226442	66532164.00
2018/11/09	13.30	13.67	13.30	13.43	2747728	56736188.00
2018/11/12	13.38	13.89	13.37	13.82	3896245	81273616.00
2018/11/13	13.60	14.00	13.51	13.86	4812148	100693568.00
2018/11/14	13.79	14.05	13.77	13.87	4464404	94862000.00
2018/11/15	13.87	14.57	13.83	14.43	7016052	152095600.00
2018/11/16	14.37	14.39	14.19	14.27	4704459	102379384.00
2018/11/19	14.17	14.22	13.86	14.17	3420258	73235808.00
2018/11/20	14.03	14.40	13.89	13.89	3922024	84680360.00
2018/11/21	13.81	13.88	13.39	13.68	3120962	64955872.00
2018/11/22	13.77	13.80	13.59	13.71	1956550	40926368.00
2018/11/23	13.71	13.77	12.45	12.57	3733353	74081536.00
2018/11/26	12.55	12.69	12.31	12.42	1660941	31696506.00
2018/11/27	12.63	12.66	12.35	12.50	1664243	31829694.00
2018/11/28	12.46	12.73	12.24	12.70	2018066	38725004.00
